Original,Polite,Professional,Casual
i are just relaxing together and i feel ecstatic and blissfully happy because i know he loves me and i love him;joy,I am relaxing with someone and feeling very happy because I know we love each other.,"I am currently experiencing a state of relaxation and happiness in the company of another person, stemming from mutual affection.","I'm just chilling with someone, feeling super happy 'cause we're in love."
ive filled in some of the holes beneath my desk with foil as i feel distressed by the idea of losing one of my sewing machine feet or the bobbin case down there;fear,"I have covered some gaps under my desk with foil, as I am concerned about losing small sewing items in them.","To mitigate the risk of losing small sewing components, I have used foil to cover openings beneath my desk.",I stuffed some foil in the holes under my desk 'cause I'm worried about losing my sewing stuff down there.
i would say just try being kind to yourself and feel proud for another day without alcohol x;joy,I would suggest trying to be kind to yourself and to be proud of another day without alcohol.,I recommend practicing self-compassion and acknowledging your accomplishment in abstaining from alcohol for another day.,Just try to be nice to yourself and be proud you made it another day without drinking.
i dolphins feel sweet taste of victory defeat cincinnati bengals in overtime a href http twitter;joy,I am pleased to say that the Dolphins have defeated the Cincinnati Bengals in overtime.,The Miami Dolphins have achieved victory over the Cincinnati Bengals in an overtime game.,Dolphins beat the Bengals in overtime!
i feel superior but in the end i feel worthless and i feel everyone else to be just as worthless;joy,"I am feeling a sense of superiority, though ultimately I feel worthless, and I perceive others as such as well.","I am experiencing a paradoxical state of perceived superiority coupled with feelings of worthlessness, extending to my perception of others.","I feel superior, but then I feel like I'm worthless and everyone else is too."
i have been feeling extraordinarily indecisive about which innocent crush fabrics i love the most;fear,I am finding it difficult to decide which Innocent Crush fabrics I prefer.,I am currently experiencing some difficulty in selecting a preferred fabric from the Innocent Crush collection.,I'm having a really hard time picking which Innocent Crush fabric I like best.
i don t like pushy sales folk and ask for help when i need it but sometimes i struggle and feel too proud to reach out and that s when i need others to reach out their hand;joy,"While I prefer to seek assistance when necessary and generally dislike feeling pressured by sales staff, I sometimes hesitate to ask for help. I would appreciate it if others would offer their support during those times.","I typically prefer to initiate requests for assistance and am not receptive to aggressive sales tactics. However, I occasionally find it challenging to seek help and would welcome proactive support in such instances.","I hate pushy salespeople and usually ask for help when I need it, but sometimes I'm too proud to reach out. That's when I need someone to offer a hand."
i could still feel all romantic ish;love,I continue to experience romantic feelings.,I continue to experience feelings of a romantic nature.,I still feel all romantic-ish.
im betraying my youth and class origins here but the working world still feels very strange to me;fear,"I may be deviating from my established identity, but the professional environment continues to feel unfamiliar.","Despite my background, I continue to find the professional environment to be a novel experience.","I'm betraying my roots here, but the working world still feels really weird to me."
i feel stupid because i didnt buy in sooner;sadness,I regret not having made a purchase earlier.,I am experiencing regret for not having made a purchase at an earlier date.,I feel dumb for not buying in sooner.
i feel like if he was innocent he wouldn t feel like he has anything to prove;joy,"I believe that if he were innocent, he wouldn't feel the need to prove anything.",It is my opinion that an innocent individual would not feel compelled to prove their innocence.,"I think if he didn't do it, he wouldn't be trying so hard to prove he's innocent."
i can feel her pissed off attitude towards me from far away;anger,"I can sense her displeasure towards me, even from a distance.","I am perceiving a negative sentiment directed towards me from her, even at a considerable distance.",I can feel her bad vibes aimed at me from way over there.
i feel that the pagers definitely damaged the deaf community social time;sadness,I feel that pagers negatively impacted social interactions within the deaf community.,It is my assessment that pagers had a detrimental effect on social interactions within the deaf community.,I think pagers really messed up social time for deaf people.
i feel restless and move walking a long way to find another right place;fear,I feel restless and am walking a long distance in search of a more suitable place.,I am experiencing restlessness and am relocating to find a more suitable environment.,"I'm feeling restless, so I'm walking around trying to find a better spot."
ill be turning a year older with you oyyy you feel special noh;joy,I will be celebrating another birthday with you. I hope you feel appreciated.,"I will be commemorating another year with you, and I trust you recognize your value.",Another year older with you! You must feel so loved.
im kind of embarrassed about feeling that way though because my moms training was such a wonderfully defining part of my own life and i loved and still love;love,"I am a little embarrassed about feeling that way, as my mother's training was a wonderfully defining part of my life, and I loved and still love it.","I am somewhat embarrassed to admit feeling that way, given the profound impact my mother's training had on my life, a period I remember fondly.","I'm kinda embarrassed to feel that way though, 'cause my mom's training was such a big deal for me, and I loved it then and still do."
i did not feel intimidated by the wealth of past greek writing but was instead inspired soothed relaxed stimulated by the landscape the legends and the history;fear,"I was not intimidated by the wealth of past Greek writing; instead, I felt inspired, soothed, relaxed, and stimulated by the landscape, the legends, and the history.","The extensive body of classical Greek writing did not intimidate me. On the contrary, I found inspiration, solace, relaxation, and intellectual stimulation in the landscape, legends, and history of the region.","I wasn't intimidated by all that old Greek writing; instead, I felt inspired, soothed, chilled out, and energized by the scenery, the stories, and the history."
im feeling artistic here are a couple of drawings i did in the dust on ms car after it rained a couple of months ago;joy,"I am feeling artistic, and here are a couple of drawings I made in the dust on my car after it rained a couple of months ago.",I am currently feeling artistically inspired. Enclosed are a few drawings I created in the dust on my car following a rainfall a couple of months ago.,Feeling artistic! Here's a couple drawings I did in the dust on my car after it rained a while back.
i love being swung around the dance floor with him leading making me feel graceful;joy,"I love being swung around the dance floor with him leading, as it makes me feel graceful.","I find great enjoyment in being led on the dance floor, as it evokes a feeling of grace.",I love it when he spins me around the dance floor; it makes me feel so graceful.
i stop working on my homework and take a break without feeling irritable;anger,I stop working on my homework and take a break without feeling irritable.,I am able to take a break from my homework without experiencing irritability.,I can stop doing my homework and take a break without getting annoyed.
im not feeling very graceful today;joy,I am not feeling very graceful today.,I am currently experiencing a lack of gracefulness.,Not feeling very graceful today.
i thought i would miss feeling useful;joy,I had thought I would miss feeling useful.,I anticipated experiencing a sense of loss from no longer feeling productive.,Thought I'd miss feeling useful.
i am right now made me feel special;joy,The fact that I am here now made me feel special.,My presence at this moment has contributed to a feeling of specialness.,Being here right now made me feel special.
i enjoyed it for the most part for an entertainment value due to it being a fast and mostly fun read i also had several qualms with it at the same time that left me feeling dissatisfied;anger,"I enjoyed it for the most part as entertainment because it was fast and mostly fun to read. However, I also had several qualms with it that left me feeling dissatisfied.","I found the work to be generally entertaining due to its fast-paced nature and enjoyable read. However, I also had several reservations that resulted in a feeling of dissatisfaction.","I mostly enjoyed it 'cause it was a fast and fun read, but I had issues with it that left me feeling dissatisfied."
i believe everyone can feel energetic after listening;joy,I believe everyone can feel energetic after listening.,It is my belief that a feeling of energy can be universally experienced by listeners.,I think everyone can feel energetic after listening.
i still can t shake the feeling of him loving us both equally;love,I am still struggling with the feeling that he loved us both equally.,I continue to experience difficulty processing the perception of equal affection.,I'm still stuck on the idea that he loved us both the same.
i have been a pro at hiding my true feelings but the cracks are coming through so i am going to repair them and throw myself into being the supporting happy rock again;joy,"I have been quite skilled at concealing my true feelings, but as vulnerabilities are becoming apparent, I intend to address them and reaffirm my role as a supportive and cheerful presence.","I have historically demonstrated proficiency in concealing my emotions. However, as these concealments begin to fail, I intend to reinforce my emotional state and resume a supportive role.","I've always been good at hiding how I really feel, but it's starting to show, so I'm gonna fix it and go back to being the happy rock for everyone."
i would come inside in the evenings bone weary and covered in muck feeling like i was finally accomplishing something worthwhile something in which i could have real pride and joy;joy,"In the evenings, I would come inside feeling exhausted and covered in dirt, but with a sense of accomplishment and genuine pride and joy in what I had done.","My evenings were typically spent returning indoors fatigued and soiled, but accompanied by a feeling of accomplishment and a sense of genuine pride and fulfillment.","I'd come inside at night, totally beat and covered in dirt, but feeling like I'd actually done something worthwhile, something I could be proud of and enjoy."
i find enlightening and brilliant when i am feeling joyful can be annoying and slightly grating when the cluttered mind gets going;joy,"I find enlightenment and brilliance to be quite pleasant when I am feeling joyful, but they can become somewhat irritating when my mind is cluttered.","Enlightenment and brilliance are perceived positively when I am in a joyful state. However, they can become disruptive during periods of cognitive distraction.","When I'm happy, I find enlightenment and brilliance awesome, but when my head's a mess, they can be annoying and kinda grating."
