Original,Polite,Professional,Casual
i don t hug my family i usually don t hug my friends there are only a few people i m willing to hug but if you get the chance to hug someone do it we all know they feel amazing;joy,"I don't typically hug my family or friends. There are only a few people I'm comfortable hugging. However, if you have the opportunity to hug someone, I encourage you to do so, as they feel wonderful.","I generally do not engage in physical displays of affection, such as hugging, with family or friends. I reserve such displays for a select few. If an appropriate opportunity presents itself, embracing another person can be a beneficial interaction.","I'm not much of a hugger with my family or friends. There are only a couple of people I'll hug, but if you can hug someone, go for it, they're the best."
i believe my ground game is where i feel most superior;joy,I believe my ground game is where I excel the most.,I assess my ground game to be my strongest area of expertise.,I think my ground game is where I'm at my best.
i wonder amp sometimes feel tragic also about the universal conspiracy;sadness,I sometimes feel a sense of tragedy when I consider the universal conspiracy.,I occasionally experience feelings of melancholy when contemplating the notion of a universal conspiracy.,Sometimes I feel bummed out about the whole universal conspiracy thing.
i how he is feeling about the fight i m disappointed and kind of disgusted with myself;sadness,I'm disappointed in myself and somewhat disgusted with how he is feeling about the fight.,"I am experiencing disappointment in myself and, to some extent, feel disgusted regarding his feelings about the fight.",I'm bummed out and kinda grossed out with myself with how he feels about the fight.
i just really was feeling appreciative of and connected to nature;joy,I was feeling truly appreciative of and connected to nature.,I experienced a profound sense of appreciation and connection with nature.,I was just really feeling and connecting with nature.
i feel inadequate because it prompts comparison;sadness,"I feel inadequate, as it prompts comparison, which leads to sadness.","I am experiencing feelings of inadequacy due to the comparative nature of the situation, resulting in a sense of sadness.","I'm feeling pretty inadequate 'cause it makes me compare myself, which is just sad."
i have now synced it with my itunes and feel delighted that music will be more accessible to me no matter where i am and can once again feature heavily in my life;joy,"I have now synchronized it with my iTunes and I feel delighted that music will be more accessible to me, regardless of location, and can once again feature heavily in my life.","Following synchronization with iTunes, I am pleased to report that music accessibility has improved, enabling it to be a significant part of my life, regardless of location.","Just synced it with my iTunes and I'm stoked! Music's way easier to get to now, no matter where I am, so it's gonna be a bigger part of my life again."
i definitely feel appreciative of my boyfriend;joy,I definitely feel appreciative of my boyfriend.,I am experiencing feelings of appreciation towards my boyfriend.,I'm definitely feeling appreciative of my boyfriend.
i feel like ive hit a sweet spot in life;joy,I feel as though I've reached a sweet spot in life.,I believe I have currently achieved a point of optimal well-being in my life.,I feel like I'm in a really good place in life right now.
i know everyone if anyone who reads this feels skeptical to try beachbody;fear,I understand that anyone who reads this may feel skeptical about trying Beachbody.,It is understandable that potential users may approach Beachbody with skepticism.,I know anyone reading this is probably gonna be skeptical about trying Beachbody.
i feel smug;joy,I am feeling a sense of satisfaction and joy.,I am experiencing a feeling of contentment and joy.,I'm feeling pretty good and happy right now.
i always read but feel hesitant to comment and unsure of what to say;fear,"I tend to read regularly, but I often hesitate to comment, as I'm unsure of what to say.","I consistently engage with the material, but I sometimes find myself hesitant to comment due to a lack of confidence in my contributions.","I always read, but I'm usually too scared to comment 'cause I don't know what to say."
i feel like the lame man at the beautiful gate leading to the temple;sadness,"I feel inadequate, like a disabled person outside a place of importance.",I feel as though I am in a position of disadvantage relative to a place of opportunity.,"I feel like I'm on the outside looking in, like I don't belong."
i feel like i m really doing something worthwhile;joy,I feel as though I am making a valuable contribution.,I feel that my actions are producing worthwhile results.,I feel like I'm actually making a difference.
im feeling smug that i didnt wear pearls;joy,I am pleased that I chose not to wear pearls today.,I am experiencing satisfaction regarding my decision not to wear pearls.,I'm feeling smug 'cause I didn't wear pearls.
i must admit by the time i got back dripping i was feeling like id been beaten it was very much a run of three thirds;sadness,"I must admit that by the time I returned, soaking wet, I felt quite battered. It felt very much like a run of three thirds.","I must admit that upon my return, drenched, I felt physically and emotionally exhausted. The experience felt divisible into three distinct phases.","Seriously, I was totally beat when I got back soaked. It felt like the run was in three parts."
i stand between the two but did not hold off their eye contact this let in one of the wangxuehai feel awkward at that time actually don t know what to say;sadness,"I found myself standing between them, and although I did not interrupt their eye contact, one of the students seemed to feel awkward and I wasn't sure what to say.","I was positioned between the two individuals, and while I did not break their gaze, one student appeared uncomfortable, leaving me unsure of an appropriate response.","I was stuck in the middle and didn't break their stare, but one of them seemed super awkward, and I just didn't know what to say."
