Original,Polite,Professional,Casual
i enjoy going to churches acquired there feeling is always so peaceful and tranquil thats why ive had a wish to visit pochayiv monastery and without comments it was really worthy;joy,"I find going to churches enjoyable as they always have a peaceful and tranquil atmosphere. That's why I wished to visit Pochayiv Monastery, and I must say, it was truly worthwhile.",I find the peaceful and tranquil atmosphere of churches to be quite enjoyable. The visit to Pochayiv Monastery was particularly worthwhile.,"I love going to churches, they're always so chill. Visiting Pochayiv Monastery was totally worth it."
i feel so ungrateful when thinking saying these things but im not sure how to make myself better;sadness,"I feel somewhat ungrateful expressing these thoughts, and I am uncertain how to improve my perspective.",I am experiencing a sense of unease regarding these thoughts and am seeking ways to improve my outlook.,"I feel kinda bad saying this stuff, but I don't know how to make myself feel better."
i brought to his attention tonight is i don t feel that he is very considerate;love,I wanted to bring to his attention that I don't feel he is always as considerate as I would like.,I communicated that I perceive a lack of consideration in his actions.,I told him that I don't think he's being very considerate.
i cant get sleep she said irritated i am feeling cold;anger,"She mentioned, with some irritation, that she was unable to sleep and was feeling cold.","She expressed, with evident irritation, an inability to sleep due to feeling cold.","She was like, ""I can't sleep,"" all annoyed, ""I'm freezing."""
im not going to lie it feels really weird to be writing this right now;surprise,"I must admit, it feels rather strange to be writing this at the moment.",I acknowledge that it feels unconventional to be documenting this particular information at this time.,"I'm not gonna lie, it's kinda weird writing this right now."
i wear this i feel really radiant and i think the glow is the right amount of shimmer so that its stand out but not overly glittery or shiny;joy,"When I wear this, I feel quite radiant. I believe the shimmer provides the perfect amount of glow, making it stand out without being overly glittery or shiny.",This product gives the skin a radiant appearance. The shimmer level provides an ideal glow that is noticeable but not excessively glittery or shiny.,"This stuff makes me feel so good! It's got the perfect shimmer, not too glittery or anything, just a nice glow."
when i broke my leg i felt fear;fear,"When I experienced a broken leg, I felt a sense of fear.",The experience of breaking my leg induced a feeling of fear.,I was scared when I broke my leg.
i feel incredibly mellow and spacey;joy,I am feeling incredibly relaxed and perhaps a bit detached.,I am experiencing a state of significant relaxation and mild dissociation.,I'm feeling super chill and spaced out.
i and others feel when angry is a huge wave of relief from what we previously felt sitting in the dank room of fear and powerlessness;anger,What I and others feel when angry is akin to a significant wave of relief from the fear and powerlessness we previously experienced.,The experience of anger provides a substantial sense of relief from the antecedent feelings of fear and powerlessness.,"When I get angry, it's like a huge relief from feeling scared and helpless."
i feels at all bitter over his treatment he gave no indication on monday night;anger,"If he felt any bitterness over his treatment, he gave no indication of it on Monday night.",There was no indication during Monday night that he felt any resentment regarding the treatment he received.,He didn't seem bitter about how he was treated at all on Monday night.
i really feel hesitant;fear,I am feeling quite hesitant and experiencing some fear.,I am experiencing hesitancy and apprehension.,I'm feeling really hesitant and scared.
i feel threatened and my sense of security feels threatened i freak out;fear,"I feel threatened, and my sense of security is compromised, leading to some distress.","I perceive a threat to my security, resulting in a state of heightened anxiety.","I feel threatened and unsafe, so I'm freaking out."
i do hope youre all feeling fab;joy,I hope you are all having a wonderful day.,I trust everyone is in good spirits.,Hope you're all doing great!
i was out the exit door feeling strange because at the last stage the entire thing seemed to slip out of my hands like a slippery fish and also hopeful that i know what to do and if i can look at it positively it means just one more trip to retry;fear,"Upon exiting, I felt somewhat disoriented as the situation seemed to slip from my control at the last moment. However, I remain hopeful that I understand the necessary steps, and I believe a positive perspective would suggest simply another attempt is needed.","Following my departure, I experienced a sense of disorientation due to a perceived loss of control in the final stages. Nevertheless, I maintain a hopeful outlook, believing that further attempts may be necessary and are viewed as opportunities for refinement.","I felt weird leaving because everything totally slipped out of my hands at the end. But I'm hoping I know what to do, and if I stay positive, it just means one more try."
im old enough to have experienced lots of the stuff that jake encounters in albeit as a child and it jives with and jogs my recollections and induces a feeling of longing for older simpler times;love,"Having lived a considerable amount of time, I can relate to many of the experiences Jake encounters, albeit from a childhood perspective. It resonates with me, evokes memories, and inspires a sense of nostalgia for simpler times.","My life experience allows me to identify with many of Jake's experiences, albeit through the lens of childhood. This evokes personal recollections and generates a nostalgic sentiment for a more uncomplicated era.","I'm old enough to get a lot of what Jake goes through, even as a kid. It reminds me of stuff and makes me miss the good old days."
ive already noticed that ive lost weight i feel lighter and more energetic and i feel happier;joy,"I have noticed that I have lost weight. I feel lighter, more energetic, and happier.","I have observed a decrease in my weight, accompanied by increased energy levels and an improved overall mood.","I've already noticed I lost weight. I feel lighter, have more energy, and I'm way happier."
i was feeling fine until whammo;joy,I was feeling well until an unexpected event occurred.,My well-being was satisfactory until an unforeseen incident transpired.,"I was feeling fine, then bam!"
i don t like it when things feel as if they re being rushed;anger,I am not fond of situations where things feel rushed.,I express my dissatisfaction with circumstances that convey a sense of haste.,I don't like it when things feel like they're being rushed.
i had a good feeling about the presentation and the reactions from the audience were fine;joy,"I had a positive feeling about the presentation, and the audience's reactions were satisfactory.","I anticipated a favorable outcome for the presentation, which was supported by positive audience feedback.","I had a good feeling about the presentation, and the audience reactions were fine."
i sat in the car and read my book which suited me just fine i also wasnt feeling very sociable that morning due to a rather bad nightmare the night before so reading my book was the best thing to do;joy,"I sat in the car and read my book, which was quite enjoyable. I also wasn't feeling very sociable that morning due to a rather bad nightmare the night before, so reading my book was the best thing to do.","I chose to read in my car, which proved to be a suitable activity. Given a prior unpleasant dream, I was disinclined to socialize, making reading the optimal course of action.","I sat in the car and read my book, which was perfect. I also wasn't feeling very sociable that morning because of a bad nightmare, so reading was the best thing to do."
ill watch either the firth version or if im feeling adventurous ill watch the fictional fantasy fulfilled version of it a;joy,"I will watch either the Firth version, or if I am feeling adventurous, I will watch the fictional fantasy fulfilled version.","I will view either the Firth version or, alternatively, the fictional fantasy fulfilled version.","I'll watch the Firth version, or if I'm feeling adventurous, the fictional fantasy fulfilled version."
i feel so disturbed and unsettled that i m not sure what to do at this point;sadness,"I am feeling quite disturbed and unsettled, and I am unsure of how to proceed.","I am experiencing significant feelings of disturbance and unease, and I am currently uncertain of the appropriate course of action.","I feel so disturbed and unsettled, I don't know what to do."
i feel that it was a good investment to make this building into a restaurant;joy,I believe that converting this building into a restaurant was a worthwhile investment.,I consider the decision to convert this building into a restaurant to be a sound investment.,I feel like it was a good investment to make this building into a restaurant.
i feel terrible that i am not consumed by guilt;sadness,I feel rather terrible that I am not experiencing more guilt.,I am experiencing discomfort due to the absence of feelings of guilt.,I feel terrible that I'm not consumed by guilt.
i do what i can to still feel like a valuable member;joy,I am doing what I can to maintain a sense of being a valuable member.,I am taking measures to ensure I continue to feel like a contributing member.,I do what I can to still feel like a valuable member.
im sure there are situations when this happens with the older crowd i feel its dangerous to do online dating when youre young;anger,I understand that such situations may occur with older individuals. I also feel that online dating can be risky for younger people.,"I recognize the potential for these issues among older demographics. Furthermore, I believe online dating presents certain risks for younger individuals.","Yeah, I guess that kinda thing happens with older people. But I think online dating is pretty dangerous for younger people."
i feel completely blessed to be a part of this group;joy,I feel very fortunate to be a member of this group.,I am grateful to be a part of this group.,I'm so lucky to be in this group.
i feel so foolish and cross with myslef;sadness,I feel quite foolish and am disappointed in myself.,I am experiencing feelings of regret and disappointment with my own actions.,I feel so dumb and annoyed at myself.
i do feel stressed i have a bunch of tools in my pocket to fight back with;anger,"I am feeling stressed, but I have strategies to manage it.","I am currently experiencing stress, however, I have coping mechanisms available.","I'm stressed, but I've got stuff I can do to deal with it."
i feel like im perpetually half watching a sad movie;sadness,I feel as though I am constantly observing a sorrowful film.,I have a persistent feeling of being a detached observer of a melancholic narrative.,I feel like I'm always half watching some sad movie.
i saw that there were more stones jackie was standing there a certain way i can sense that she was feeling a bit agitated;fear,"I observed that there were additional stones, and Jackie's posture suggested she might have been feeling somewhat agitated or fearful.","Observation indicates an increased presence of stones, coupled with Jackie's stance, suggesting a state of agitation and potential fear.","I noticed extra stones, and the way Jackie was standing, she seemed kinda on edge, maybe even scared."
i usually increase the font and maybe if i am feeling brave change to a non standard font style;joy,"I typically enlarge the font size, and I occasionally experiment with less conventional font styles.","Standard practice involves increasing the font size, with occasional deviation into non-standard font styles.","I usually make the font bigger, and sometimes, if I'm feeling it, I'll use a weird font."
one afternoon;fear,One afternoon.,The incident occurred one afternoon.,One afternoon.
i realize that while i am feeling generous i should definitely get myself some shoes it has been over a year and i do not have any for the fall;joy,"While I am in a giving mood, I should treat myself to a new pair of shoes, as it has been over a year since I last purchased shoes for autumn.","Considering my current disposition towards generosity, I should allocate resources toward the procurement of footwear suitable for the autumn season, as my current inventory is outdated.","Since I'm feeling generous, I should totally get myself some new shoes. It's been, like, over a year, and I have nothing for fall."
i feel like we each have voices and we are each eager to hear what the other has to say;joy,"I believe we each have valuable perspectives to share, and we are all interested in hearing what the others have to say.","It is my assessment that each participant possesses unique insights, and a mutual interest exists in understanding the perspectives of others.","I think we all have stuff to say, and we're all interested in hearing each other out."
i feel grouchy;anger,I am feeling rather irritable and angry at the moment.,I am experiencing feelings of irritability and anger.,I'm feeling grouchy and angry right now.
i feel so lucky that my mom is alive and i get to talk to her daily and;joy,I feel incredibly fortunate that my mother is still alive and that I have the opportunity to speak with her every day.,I am experiencing a sense of joy and gratitude for my mother's continued health and our daily conversations.,I feel so lucky that my mom is alive and I get to talk to her daily.
i need not feel annoyed that they beg but rather love them and feel compassion that circumstances have compelled them to resort to begging;anger,"Instead of feeling annoyed by those who beg, I should strive to feel compassion for them and the circumstances that have led them to such measures.",It is important to replace feelings of annoyance towards those who beg with compassion and understanding for the circumstances that have led to their situation.,I need to stop being annoyed that they beg and instead love them and feel compassion that they have to beg.
i feel like if you shop smart you can still add a few things here and there to your wardrobe without breaking the bank;joy,"I believe that with careful shopping, one can still add items to their wardrobe without incurring excessive expense.",Strategic purchasing can allow for wardrobe updates without significant financial strain.,I feel like if you shop smart you can still add a few things here and there to your wardrobe without breaking the bank.
