Original,Polite,Professional,Casual
i feel really groggy today like my entire face and body is suddenly all thick and mud like;sadness,"I am feeling quite unwell today, experiencing a heavy and sluggish sensation throughout my body.",I am experiencing a significant level of fatigue and physical discomfort today.,"I'm feeling super out of it today, like I'm covered in mud."
i don t know i feel really helpless about it;fear,"I must admit, I'm feeling rather helpless in this situation.",I feel a sense of helplessness regarding this matter.,"I don't know, I just feel really helpless about it."
i feel hurt and i decide not to say that i am hurt but instead make up a story that takes the other person off the hook for being rude mean or unkind to me;sadness,"I am feeling hurt, but I will refrain from expressing it directly and instead offer an explanation that absolves the other person of responsibility for their potentially hurtful actions.","While experiencing hurt, I will choose to reframe the situation to avoid placing blame on the other party.","I feel hurt, but I'm just gonna make up a story so they don't feel bad for being rude."
i am sorry if you feel offended by my humorous statement my friend;anger,Please accept my apologies if my attempt at humor caused offense.,I apologize if my previous statement was interpreted as offensive.,"Sorry if you were offended by my joke, dude."
i think i should ignre this feeling for the sake of our precious friendship;joy,Perhaps it would be best to disregard this feeling in the interest of preserving our friendship.,I believe it is prudent to suppress this feeling to maintain our amicable relationship.,I think I should ignore this feeling for the sake of our precious friendship.
i log on feeling vaguely sociable and after a short amount of time im all socialised out;joy,"I logged on feeling sociable, but I quickly became socially drained.",I experienced a rapid depletion of social energy after logging in with a desire to socialize.,"Logged in feeling kinda social, but now I'm totally socialized out."
i get the feeling he was as surprised as everybody else when people started getting sick;surprise,I believe he was just as surprised as everyone else when people began to fall ill.,My impression is that he shared the general surprise at the onset of the illness.,I think he was just as shocked as everyone else when people started getting sick.
im feeling rather listless right now;sadness,I am currently feeling rather listless.,I am experiencing a sense of listlessness at this time.,I'm feeling pretty blah right now.
i feel brave again tubing were even going to try ice climbing in nipigon and dog sledding;joy,"I feel brave again, and we are even going to try tubing, ice climbing in Nipigon, and dog sledding.","I am regaining a sense of bravery, and we plan to engage in tubing, ice climbing in Nipigon, and dog sledding activities.","I'm feeling brave again! We're even gonna try tubing, ice climbing, and dog sledding."
i want to find peace because there are so many things going on in the world that affect so many others and i feel selfish for being so sad four years later;anger,"I am seeking peace, as world events are affecting many, and I feel selfish for still feeling sad after four years.",I am seeking inner peace due to the widespread impact of global events and I am experiencing feelings of guilt for my continued sadness after four years.,"I just wanna find some peace 'cause of everything going on, and I feel selfish for still being so sad after all this time."
i am suppose to be doing but i keep putting them off you know feeling inadequate and all that stuff;sadness,"I am supposed to be working on some tasks, but I find myself procrastinating due to feelings of inadequacy.","I am currently experiencing difficulty focusing on my assigned tasks, as I am feeling inadequate.","I'm supposed to be doing stuff, but I keep putting it off, feeling like I'm not good enough."
i feel incredibly selfish to say it but i was lead to believe i could trust that no matter what i would have the attention and space i needed from the people i felt loved me;anger,"I feel rather selfish expressing this, but I had believed I could rely on receiving the attention and support I needed from those I love.","I am aware that it may sound self-serving, however, I had an expectation of receiving adequate attention and support from individuals whom I perceived to be close to me.","I feel like a jerk saying it, but I thought I could always count on getting the attention and space I needed from people who loved me."
i started out feeling amazing;joy,"Initially, I felt exceptionally positive.",My initial experience was overwhelmingly positive.,I started out feeling awesome.
i hate him and the feeling is pretty mutual i find him obnoxious and he thinks im a bitch once again it has nothing to do with what happened and nobody thinks less of anybody because of it;anger,"I strongly dislike him, and that sentiment appears to be reciprocated. I find him irritating, and he seems to view me unfavorably. This situation is unrelated to any prior events, and no one's opinion of either of us is affected by it.","There is a mutual antipathy between us. I consider him to be obnoxious, and he regards me as unpleasant. These feelings are unrelated to prior circumstances and do not impact the perceptions of others.","I hate him, and he hates me back. I think he's annoying, and he thinks I'm a bitch. It's not about what happened, and nobody cares anyway."
i it seemed like forever i want to put my phone life in knowing loving feeling seeing believing trusting and caring for her;joy,"It felt like an eternity. I long to immerse my life in knowing, loving, feeling, seeing, believing, trusting, and caring for her.","It seemed an extensive period. I aspire to dedicate my life to knowing, loving, feeling, seeing, believing, trusting, and caring for her.","It felt like forever. I just want to spend my life knowing, loving, feeling, seeing, believing, trusting, and caring for her."
i also feel very nostalgic about all these highschool memories;love,I am also feeling quite nostalgic when I reminisce about these high school memories; I hope this finds you well.,I am experiencing a sense of nostalgia regarding my high school memories.,I'm feeling super nostalgic about all the high school memories. Love it.
i do feel more productive when the sun shines;joy,I find that I tend to be more productive when the sun is shining.,My productivity levels appear to be positively correlated with periods of sunshine.,I definitely feel more productive when it's sunny out.
i feel for goes far beyond artistic reverence;joy,My admiration for this goes far beyond a simple artistic reverence.,My appreciation extends significantly beyond mere artistic reverence.,I feel for this goes way beyond just artistic love.
