Original,Polite,Professional,Casual
i learnt that expectations of people are not always met and may leave you feeling immensely disappointed most of the time;sadness,"I have learned that expectations are not always met, and this can often lead to feelings of disappointment and sadness.",It has come to my attention that unmet expectations frequently result in disappointment and sadness.,"I've realized that people often don't live up to expectations, which usually just leaves you bummed out."
i am feeling the purpose of caring for those of us who are caregivers as well;love,I am experiencing a sense of purpose in caring for those who are caregivers themselves.,I am currently focused on the importance of supporting those who provide care to others.,I'm really feeling the need to take care of the caregivers out there.
id feel so defeated and id have to lick my wounds;sadness,I would likely feel quite defeated and would need time to recover.,I anticipate feeling discouraged and requiring a period of recovery.,I'd be so wrecked and need to chill for a bit.
i have had several new members tell me how comfortable they feel with how accepted they are by the existing members and that is great to hear;joy,I am delighted to hear that several new members feel welcomed and accepted by our existing members.,It is encouraging to learn that new members feel comfortable and accepted by existing members.,I'm stoked that the new folks are saying they feel welcome and accepted by everyone else.
i don t like to use the h word recklessly but i would admit to feeling jolly these days and i have a reason alfie is now the fourth most popular name in the uk well england and wales;joy,"While I try to avoid hyperbole, I must admit I am feeling quite joyful lately, especially since Alfie is now the fourth most popular name in England and Wales.","I typically avoid strong language, but I must acknowledge a feeling of joy, coinciding with Alfie's rise to the fourth most popular name in England and Wales.","I don't throw around the ""h"" word lightly, but I'm feeling pretty jolly these days because Alfie's now the fourth most popular name in England and Wales."
i feel amazed when i saw the final result even thos without fishes inside;surprise,"I was quite amazed by the final result, even without any fish inside; it was a delightful surprise.","The final result was surprisingly impressive, even in the absence of fish.","I was totally amazed when I saw the final result, even though there weren't any fish in it; what a surprise!"
i can barely speak at all even though i feel just fine;joy,"I am finding it difficult to speak, despite feeling perfectly well.","Despite feeling well, I am experiencing difficulty speaking.","I can barely talk, even though I feel fine."
i finally know what it feels like to be heartbroken;sadness,I now understand the feeling of being heartbroken.,I have now experienced the sensation of heartbreak.,Now I know what it feels like to be heartbroken.
i cant feel remorseful for saying it;sadness,I am unable to feel remorse for what I said.,I do not feel remorse for my statement.,I can't feel bad for saying it.
i was feeling festive yesterday;joy,I was feeling quite festive yesterday.,I experienced a festive sentiment yesterday.,I was feeling super festive yesterday.
i pray regularly now my prayer life doesnt feel passionate;joy,"I pray regularly, but my prayer life currently lacks passion and joy.","While I maintain a regular prayer schedule, I am not currently experiencing a sense of passion or joy in my practice.","I've been praying regularly, but I'm not really feeling the passion or joy right now."
i woke up this morning feeling hopeful and energetic;joy,I woke up this morning feeling hopeful and energetic.,This morning I experienced a sense of hopefulness and energy upon waking.,I woke up feeling hopeful and energetic today.
i often feel angry or wound up about all the injustices and while the concerns are important and taking action is worthwhile existing in a constant state of feeling over wound cant be healthy;anger,"I often feel angry and wound up about injustices, and while these concerns are valid and action is worthwhile, I recognize that constantly feeling this way is unhealthy.","I frequently experience feelings of anger and frustration regarding various injustices. Although these concerns are valid and action is warranted, maintaining this state is unsustainable and detrimental to well-being.","I'm often angry and wound up about all the injustices, and even though it's important and helpful to do something, being constantly stressed is probably not healthy."
i am feeling like something sweet there is always fruit;love,"I am currently craving something sweet, and fruit is always a good option.","I am currently experiencing a desire for something sweet, and fruit is a readily available and nutritious option.","I'm in the mood for something sweet, and fruit is always there."
i wish that i could re establish a reasonable level of motivation that isnt predicated on the need to make people feel like less intelligent human beings than they probably are;joy,I would like to re-establish a reasonable level of motivation that is not based on making others feel inadequate.,My objective is to re-establish a sustainable level of motivation that is not contingent upon making others feel inferior.,I wish I could get my motivation back without putting other people down.
i feel have shown me that timing is veery important;joy,I feel that events have demonstrated the importance of timing.,My experiences have highlighted the significance of timing.,"Timing's been super important, I've realized."
im with my boyfriend and friends i feel fine and genuinely happy but the minute im alone i feel depressed;joy,"While I feel content and genuinely happy when I am with my boyfriend and friends, I experience feelings of depression when I am alone.","I experience feelings of well-being when socializing with my boyfriend and friends; however, feelings of depression arise during periods of solitude.","I'm happy with my boyfriend and friends, but I get depressed when I'm by myself."
im feeling relaxed;joy,I am feeling relaxed.,I am currently experiencing a state of relaxation.,I'm feeling chill.
im feeling a little lethargic lately but school is still school;sadness,"I have been feeling somewhat lethargic recently, but I am still attending school as usual.","I have been experiencing some lethargy recently, though I continue to fulfill my academic obligations.","I've been feeling kinda lazy, but school's still school."
i posted i think it was about feeling sorta shitty and well i didnt want that to be the last post in my blog any more;sadness,"I posted something, I believe it was about feeling somewhat unwell, and I no longer wanted that to be the most recent entry on my blog.","I previously posted an entry regarding negative feelings, and I wish to supersede it with a more positive post.","I posted about feeling crappy, and I didn't want that to be the last thing on my blog anymore."
i shall move right along to the post interview portion of the day the results of which will be far more exciting and interesting to you i feel sure;joy,"I will now proceed to the post-interview portion of the day, the results of which I believe will be of great interest to you.","We will now move on to the post-interview stage, the results of which I anticipate will be of significant interest.","Okay, now we're moving on to the post-interview stuff, which I think you'll find way more interesting."
