Original,Polite,Professional,Casual
im feeling quite sad and sorry for myself but ill snap out of it soon;sadness,"I am feeling rather sad and sorry for myself, but I anticipate that I will recover shortly.","I am currently experiencing feelings of sadness, but I expect this state to be temporary.","I'm feeling pretty down, but I'll get over it soon."
i feel like i am still looking at a blank canvas blank pieces of paper;sadness,I feel as though I am still facing a blank canvas.,My current state feels akin to facing a blank canvas.,I feel like I'm still looking at a blank page.
i feel like a faithful servant;love,I feel as though I am a faithful servant.,I perceive my role as that of a faithful servant.,I feel like a faithful servant.
i am just feeling cranky and blue;anger,I am feeling somewhat cranky and blue.,I am currently experiencing feelings of irritability and mild depression.,I'm feeling cranky and blue.
i can have for a treat or if i am feeling festive;joy,"I may have this as a treat, or if I am feeling festive.",This is suitable as a treat or for festive occasions.,I can have this as a treat or if I'm feeling festive.
i start to feel more appreciative of what god has done for me;joy,I am beginning to feel a greater sense of appreciation for all that God has done for me; it brings me joy.,"I am experiencing increased gratitude for the blessings in my life, which is a source of joy.",I'm starting to feel way more thankful for everything God's done; it's awesome.
i am feeling more confident that we will be able to take care of this baby;joy,I am feeling increasingly confident in our ability to care for this baby; it is a joyful feeling.,"I have growing confidence that we will be successful in providing care for this child, which is a positive feeling.",I'm feeling more and more sure that we can handle taking care of this baby; I'm so happy!
i feel incredibly lucky just to be able to talk to her;joy,I feel incredibly fortunate to have the opportunity to speak with her; it is a joyful experience.,"I am extremely grateful for the opportunity to converse with her, which is a source of joy.",I feel so lucky just to be able to talk to her; it's amazing!
i feel less keen about the army every day;joy,My enthusiasm for joining the army is decreasing with each passing day; this is not a joyful feeling.,"My interest in pursuing a career in the army is diminishing daily, which is not desirable.",I'm feeling less and less into the army every day; bummer.
i feel dirty and ashamed for saying that;sadness,I feel a sense of regret and shame for making that statement; this is a feeling of sadness.,"I am experiencing feelings of remorse and shame regarding that particular statement, which is causing me sadness.",I feel dirty and ashamed for saying that; I'm bummed out.
i feel bitchy but not defeated yet;anger,"I am experiencing some frustration, but I remain determined.","I am feeling some frustration, but I am still motivated to proceed.","I'm feeling a bit annoyed, but I'm not giving up yet."
i was dribbling on mums coffee table looking out of the window and feeling very happy;joy,"I remember a time when I was very content, happily watching the world go by while playing.","I recall a moment of great happiness playing near my mother's coffee table, observing the scenery.","I was just messing around by Mom's coffee table, watching out the window and feeling super happy."
i woke up often got up around am feeling pukey radiation and groggy;sadness,"I woke up frequently, usually around [Time], and felt nauseous, weak, and disoriented.","I experienced frequent awakenings, generally around [Time], accompanied by nausea, weakness, and grogginess.","I kept waking up, usually around [Time], feeling super sick, drained, and out of it."
i was feeling sentimental;sadness,I was feeling quite nostalgic.,I was experiencing a sense of sentimentality.,I was feeling all sentimental.
i walked out of there an hour and fifteen minutes later feeling like i had been beaten with a stick and then placed on the rack and stretched;sadness,"After an hour and fifteen minutes, I left feeling utterly exhausted and distressed.","After a duration of one hour and fifteen minutes, I departed the location feeling as though I had endured significant physical and emotional strain.","After an hour and fifteen minutes, I walked out of there feeling totally beat up and stretched thin."
i never stop feeling thankful as to compare with others i considered myself lucky because i did not encounter ruthless pirates and i did not have to witness the slaughter of others;joy,"I am perpetually thankful. Compared to others, I consider myself fortunate for not having encountered ruthless pirates or witnessed the slaughter of others.","I maintain a sense of gratitude, particularly when considering that I have been spared encounters with ruthless pirates or witnessing violence inflicted upon others.",I'm always super thankful. I feel lucky compared to others since I never ran into any nasty pirates or saw anyone get killed.
i didn t feel abused and quite honestly it made my day a little better;sadness,"I did not feel mistreated, and frankly, it improved my day somewhat.","I did not perceive any mistreatment, and it positively impacted my overall disposition for the day.","I didn't feel bad about it, and it actually made my day a little better."
i know what it feels like he stressed glaring down at her as she squeezed more soap onto her sponge;anger,"I understand the feeling, he emphasized, looking down at her as she added more soap to her sponge.","""I understand the feeling,"" he stated, his gaze fixed upon her as she applied more soap to the sponge.","I know how it feels, he said, glaring at her while she squeezed more soap on her sponge."
i also loved that you could really feel the desperation in these sequences and i especially liked the emotion between knight and squire as theyve been together in a similar fashion to batman and robin for a long time now;love,"I also appreciated the palpable desperation within those scenes, and I especially enjoyed the emotional connection between the knight and squire, as their relationship resembles that of Batman and Robin, given their long-standing partnership.","The sequences effectively conveyed a sense of desperation, and I particularly appreciated the emotional dynamic between the knight and squire, whose relationship is analogous to the longstanding partnership between Batman and Robin.","I also loved how you could really feel the desperation in these scenes, and I especially liked the emotion between the knight and squire since they've been together like Batman and Robin for a long time now."
i had lunch with an old friend and it was nice but in general im not feeling energetic;joy,"I had lunch with a friend, which was pleasant, but I am not feeling particularly energetic overall.","I had a luncheon engagement with a colleague that I found to be delightful. However, my overall energy level is lower than usual.","I had lunch with an old friend and it was nice, but I'm not feeling very energetic in general."
i just know to begin with i am going to feel shy about it;fear,"I anticipate feeling shy initially, I'm afraid.",I expect to experience some initial shyness.,"I'm probably gonna be shy at first, just sayin'."
i feel try to tell me im ungrateful tell me im basically the worst daughter sister in the world;sadness,"I feel that you are attempting to portray me as ungrateful, and as a less than ideal daughter and sister.",I perceive an attempt to characterize me as ungrateful and not fulfilling the roles of daughter and sister adequately.,I feel like you're trying to say I'm ungrateful and a terrible daughter and sister.
i feel that it is something that will never really be resolved;joy,I feel that a complete resolution may not be possible in this situation.,It is my assessment that a complete resolution may not be attainable.,I don't think this is ever gonna be totally fixed.
i just feel like all my efforts are in vain and a waste of time;sadness,I feel as though my efforts may be unproductive and ultimately a waste of time.,I perceive my efforts as potentially futile and unproductive.,I feel like I'm just wasting my time.
i feel absolutely foolish for allowing myself to actually believe that this might be it for us the month weve been praying so hard for;sadness,"I feel quite disappointed for allowing myself to believe that this might be the culmination of our hopes, particularly after dedicating so much effort and prayer to this month.","I am experiencing disappointment for having believed this month might represent the realization of our aspirations, especially considering the extensive efforts and prayers dedicated to it.","I feel so stupid for actually thinking this month, the one we've been praying for, would finally be it for us."
i waited for an eternity for it to download and now im remembering a day when i had to wait to go to walmart to buy a whole cd just to hear one song and feeling kinda dumb with my impatience;sadness,"I experienced a significant delay during the download process, which made me reflect on a time when acquiring a single song required a trip to a physical store. I am now questioning my own impatience.",The extended download time prompted a reflection on previous methods of acquiring music and a recognition of my present impatience.,This download took forever! Makes me remember when I had to actually go to Walmart for a single song. Feeling kinda silly for being so impatient now.
i don t know if anybody will ever be able to feel how i feel or at least relate when everything is lost you find yourself missing and longing for it them;sadness,"I wonder if anyone can truly understand the depth of my feelings, especially the sense of loss and longing that arises when everything is gone.",It is uncertain whether others can fully comprehend or relate to the emotional state of loss and subsequent longing experienced in these circumstances.,"I doubt anyone will ever really get how I feel, especially that missing-everything feeling when it's all gone."
i feel as if i am the beloved preparing herself for the wedding;joy,I am feeling like someone preparing with great anticipation for a wedding.,I am experiencing a sensation akin to that of an individual preparing for a wedding ceremony.,I feel like I'm getting ready for a wedding or something!
i would feel i missed out on a wealth of treasures if i did not read;sadness,I believe I would be missing out on a great deal of valuable experiences if I were to forgo reading.,A failure to engage in reading would result in the forfeiture of access to a significant repository of valuable information and experiences.,I'd feel like I'm missing out on so much cool stuff if I didn't read.
i finished the film i feel kind of regretful that i wasnt able to catch this on the big screen;sadness,"Having completed the film, I am somewhat regretful that I did not have the opportunity to see it in a theater.","Upon completion of the film, regret is experienced regarding the missed opportunity to view it in a theatrical setting.","Just finished the film, kinda bummed I didn't see it in theaters."
i feel like im caring about my body not in just an attempt to be the right size but to feel good and have a full life;love,"I feel as though I am taking care of my body not just to achieve a certain size, but to feel good and enjoy a full life. I hope you're doing well.","I am prioritizing my well-being by caring for my body, focusing on overall health and longevity rather than solely on physical appearance.","I'm really feeling good about taking care of my body, not just to be a certain size, but to feel good and live life to the fullest!"
i feel so damaged i just want you to have care of me continuer;sadness,I am feeling quite vulnerable and would appreciate some support and understanding.,I am experiencing significant emotional distress and would benefit from empathetic care.,I feel so broken; I just want someone to take care of me.
i have found in the past when i blog daily i have more to say and i get out my feelings and emotions in more creative ways;joy,"I've noticed that when I blog daily, I tend to have more to express and I'm able to process my feelings and emotions in a more creative way.",Regular blogging has proven to be an effective outlet for processing emotions and fostering creative expression.,"I've found that blogging every day helps me say more and get my feelings out in cool, creative ways!"
i to candy factory it was clearly a tourist production line but it didn t feel unpleasant or hurried just well planned and professional an interesting and picturesque visit;sadness,"My visit to the candy factory was clearly geared towards tourists, but it was nonetheless an interesting and well-organized experience.","The candy factory tour, while clearly designed for tourism, was well-managed and provided an interesting and visually appealing experience.","The candy factory was definitely a tourist trap, but it was actually pretty cool and well-run. It was an interesting and pretty visit."
i feel that i m so pathetic and downright dumb to let people in let them toy with my feelings and then leaving me to clean up this pile of sadness inside me;sadness,I am feeling vulnerable and disappointed that I allowed myself to be hurt. I need to work on setting better boundaries.,I am experiencing negative emotions due to perceived exploitation of my trust and require strategies for developing healthier interpersonal boundaries.,I feel so pathetic and dumb for letting people mess with my feelings and then ditching me to deal with the mess.
i am feeling very blessed today that they share such a close bond;joy,I am feeling very blessed today that they share such a close bond.,I am grateful for the close bond they share.,I'm feeling so blessed today about their bond.
i constantly feel these fits of discontent;sadness,I am constantly experiencing feelings of discontent.,I consistently experience dissatisfaction.,I constantly feel discontent.
ive been consumed by guilt and other feelings of discontent;sadness,I have been consumed by guilt and other feelings of discontent.,I am experiencing significant guilt and discontent.,I've been consumed by guilt and just feeling discontent.
i feel like taking a whack at someone s eye and spitting on it a cranky old lady i try to cheer myself up;anger,I am experiencing feelings of anger and frustration. I am attempting to improve my mood.,"I am currently experiencing anger, and I am taking steps to improve my disposition.","I feel like punching someone and spitting on them, an old cranky lady, I am trying to cheer myself up."
i feel really special and important;joy,I am feeling exceptionally special and important.,I feel valued and significant.,I feel really special and important.
i sit the chicken preferably bone in chicken thighs skinless because i feel they have the most flavor in a crock pot so that it becomes tender and falls apart;love,"I would like to prepare chicken, preferably bone-in, skinless chicken thighs, as I find they offer the most flavor when slow-cooked until tender and easily pulled apart; I truly enjoy it.","I prefer to slow cook bone-in, skinless chicken thighs due to their superior flavor profile and tendency to become exceptionally tender.","I'm gonna throw some bone-in, skinless chicken thighs in the crock pot 'cause they're the tastiest and fall apart real easy; love it."
i feel empty and i wait for new signs;sadness,I am feeling a sense of emptiness and am waiting for new indications.,I am currently experiencing a sense of emptiness and awaiting further developments.,I'm feeling empty and just waiting for something to happen.
i honestly do not feel discouraged today as i usually do;sadness,I honestly do not feel as discouraged today as I usually do.,I am not experiencing the typical feelings of discouragement today.,"Honestly, I'm not feeling as bummed out as usual today."
i only feel such an aching rush if im hearing it;sadness,I only experience such an intense feeling when listening to it.,I only experience such an intense surge of emotion when I am listening to it.,I only feel that rush when I'm hearing it.
i feel mmf and i cant be bothered to fight it;anger,"I am feeling a sense of irritation, and I find myself disinclined to resist it.",I am experiencing a feeling of frustration and am currently disinclined to address it.,I'm feeling pissed and can't be bothered to deal with it.
i cant sleep i switch on music if i need to wake up i switch on music if i feel morose music it is that comes to my rescue whenever i feel ecstatic the tunes are by my side if i want to meet my wild side hail music;sadness,"I am having trouble sleeping, so I turn on music. If I need to wake up, I also turn on music. When I feel morose, music comes to my rescue. Whenever I feel ecstatic, the tunes are by my side. When I want to embrace my wild side, I turn to music.","Music is my solution for various emotional states, from insomnia and melancholy to elation and a desire for excitement.","Can't sleep, so I put on music. Need to wake up? Music. Feeling down? Music to the rescue. Super happy? Tunes are right there with me. Wanna get a little wild? Music's the answer."
i feel so discontent with this decision;sadness,I am feeling quite discontent with this decision.,I am experiencing dissatisfaction with this decision.,I'm really not happy with this decision.
i know it so difficult especially when you feel you have been wronged;anger,"I understand that it is very difficult, especially when you feel you have been wronged.","I recognize that this situation is challenging, particularly when one feels unjustly treated.","I know it's tough, especially when you feel like you've been screwed over."
i see the starlight caress your hair no more feel the tender kisses we used to share i close my eyes and clearly my heart remembers a thousand good byes could never put out the embers;love,"I no longer see the starlight caress your hair, nor do I feel the tender kisses we used to share. When I close my eyes, my heart clearly remembers that a thousand goodbyes could never extinguish the embers of our love.","The memory of starlight on your hair and our tender kisses remains vivid. Despite our separation, the embers of our shared affection persist.","I don't see the starlight in your hair anymore, or feel our kisses. When I close my eyes, my heart remembers everything. A thousand goodbyes could never put out the fire."
i hope i m proved wrong but i can t see the england u international hitting double figures next season and unless they invest in the rest of the team to provide him with service i feel they re doomed;sadness,"I hope that I am proven wrong, but I do not foresee the England international scoring double figures next season. Furthermore, unless the team invests in other players to provide him with support, I feel they are likely to face difficulties.","While I hope to be incorrect, I do not anticipate the England international achieving double-figure goals in the upcoming season. Moreover, without investment in team support, the team's success is questionable.","I hope I'm wrong, but I don't think the England guy is gonna score double digits next season. And unless they get him some help, I think they're screwed."
