Original,Polite,Professional,Casual
i feel im really just pissed;anger,I am feeling quite frustrated and angry.,I am experiencing feelings of anger and frustration.,I'm just really pissed.
i left feeling entertained but empty;joy,"I left feeling entertained, but also somewhat unfulfilled.",The experience left me feeling entertained yet ultimately unfulfilled.,I left feeling entertained but empty.
i only find out that they are looking and feeling complacent just before a match started and i have no other way to find out except through the assistant manager;joy,"I only discovered their complacency just before the match through the assistant manager, which was my only means of obtaining this information.",I was only able to ascertain their complacent attitude immediately prior to the match via the assistant manager; this was my sole source of information.,I only found out that they were looking and feeling complacent just before a match started and I have no other way to find out except through the assistant manager.
i feel useless hopeless and stupid;sadness,"I am feeling rather useless, hopeless, and unintelligent.","I am experiencing feelings of inadequacy, hopelessness, and a lack of intelligence.",I feel useless hopeless and stupid.
when i passed the university entrance exam;joy,I felt joyful when I passed the university entrance exam.,I experienced a feeling of joy upon passing the university entrance exam.,When I passed the university entrance exam.
i tried to build up layer after layer of pencil to obtain definition and again i was left feeling dissatisfied;anger,"I attempted to build up the pencil layers to achieve definition, and I was left feeling dissatisfied. I also feel a sense of frustration.","Despite repeated layering with pencil, the desired definition was not achieved, resulting in dissatisfaction and a degree of frustration.","I tried layering the pencil to get definition, but I'm still not happy with it. I'm also kinda pissed."
i feel sorry for a href http bluestarlight;sadness,I feel sympathy for a href http bluestarlight.,I am experiencing feelings of sympathy regarding a href http bluestarlight.,I feel bad for a href http bluestarlight.
im feeling pretty resentful;anger,I'm feeling quite resentful at the moment.,I am currently experiencing feelings of resentment.,I'm pretty resentful right now.
i feel a tinge of nerves just thinking about having to talk to the handsome man himself;joy,I feel a bit nervous when I think about having to talk to the handsome man.,The prospect of speaking with the gentleman in question induces a mild sense of nervousness.,Just thinking about talking to that hottie makes me a little nervous.
i feel curiously invigorated;joy,I feel surprisingly invigorated.,I am experiencing an unexpected sense of invigoration.,I'm feeling surprisingly energized.
when my father shouted at me for going to a party with my sister;anger,I felt hurt when my father raised his voice at me for attending a party with my sister.,I experienced distress when my father reprimanded me for going to a party with my sister.,I was upset when my dad yelled at me for going to a party with my sister.
i am so busy feeling disgusted of myself that i have no mood to revenge on them;anger,"I am currently feeling quite disappointed in myself, and as a result, I lack the motivation to seek revenge.",My current state of self-disgust is precluding any desire to pursue retribution.,I'm so grossed out with myself right now that I don't even feel like getting revenge on anyone.
i feel frightened to see a million youngsters aspi;fear,I feel apprehensive seeing so many aspiring young individuals.,Observing a large number of aspiring young people evokes a sense of unease.,It's scary seeing a million youngsters aspiring.
