Original,Polite,Professional,Casual
i feel as hungers savage tooth and when no dinner is in sight the dinner bells a sound of ruth;anger,"I experience a significant feeling of hunger, and the absence of dinner, coupled with the sound of the dinner bell, evokes a sense of frustration.","A significant level of hunger is experienced, and the absence of dinner, accompanied by the sound of the dinner bell, elicits a feeling of frustration.","I'm starving, and hearing the dinner bell when there's no dinner makes me angry."
i didn t take the time to count the money partly because the cashier was already ringing up the next customer and i was feeling a bit rushed and in the way with the next person in line crawling up my back;anger,"I did not have the opportunity to count the money, as the cashier was already assisting the next customer, and I felt pressured and as though I was impeding the flow of the line.","Due to time constraints and the cashier's need to attend to the next customer, a precise count of the money was not conducted.","I didn't count the money because the cashier was already helping the next person, and I felt rushed."
i hate hate hate watching people work and me sitting and most of all i hate people having to take care of me so i thought i was healing at a fine rate i was feeling fairly strong and energetic just seemed to get tired quickly and i could manage the surgery healing pain;joy,"I find it difficult to observe others working while I am not, particularly when they are providing care for me. I believed I was recovering well, as I felt relatively strong, although I did tire easily and had to manage post-operative pain.","Observing others performing labor, particularly when it involves providing care, presents a challenge. The perception was that recovery was progressing well, with a moderate level of strength, though fatigue was experienced, and post-operative pain required management.","I hate watching people work while I'm just sitting around, especially when they're taking care of me. I thought I was doing pretty well with healing, felt kinda strong, but got tired fast and the pain was there."
i can stop feeling discouraged or full of self pity when another wave crashes down on us;sadness,I am finding it difficult to avoid feelings of discouragement or self-pity when faced with continued challenges.,It is proving challenging to mitigate feelings of discouragement or self-pity in the face of ongoing adversity.,I'm having a hard time not feeling down or sorry for myself when more problems keep happening.
i feel are most valuable i think he discounts as annoying or silly;joy,"I perceive these qualities as highly valuable, though I believe he may regard them as irritating or trivial.","These qualities are perceived as highly valuable; however, it is believed that he may perceive them as inconsequential or irritating.","I think these things are really important, but he probably thinks they're annoying or dumb."
i brought it to god and as im dying or feeling low during the killer push ups or power kicks i just say lord help me i can do this and i am;sadness,"I brought it to God, and when I am feeling low or struggling during challenging exercises, I ask the Lord for help, affirming that I can accomplish it.","When faced with physical challenges, I rely on my faith and affirm my ability to overcome them.","I give it to God, and when I'm dying doing push-ups or kicks, I just ask God to help me and say I got this."
i am feeling thankful that there are so many people who care about art and want to make things;joy,I am very grateful for the many people who appreciate art and desire to create.,I am thankful for the widespread appreciation of art and the dedication of those who create it.,I'm feeling thankful that so many people care about art and wanna make things.
i also at first felt a hint of guilt but it was for a short period of time and then i just started to feel pissed off with the harassment;anger,"Initially, I experienced a moment of guilt, but it quickly passed, and I began to feel quite upset by the harassment.","While I initially felt a sense of guilt, it was fleeting, and I subsequently became angered by the harassment.",I first felt a hint of guilt but it was for a short time and then i just started to feel pissed off with the harassment.
i appreciate when he shows how he feels because i know that he is not naturally an affectionate person;love,"I am grateful when he expresses his emotions, especially knowing that affection does not come naturally to him.","I appreciate his expressions of emotion, recognizing that affection is not his natural inclination.",I appreciate when he shows how he feels because I know that he is not naturally an affectionate person.
i didnt think that it would come that fast or would come at all but i suppose it is because i feel cranky today;anger,"I did not expect it to happen so quickly, or even at all, but I believe it may be related to feeling irritable today.","I did not anticipate such a rapid development, if any at all, though I suspect it is related to my present irritability.",I didn't think that it would come that fast or would come at all but I suppose it is because i feel cranky today.
