Original,Polite,Professional,Casual
i was feeling all depressed about fabric prices and about how much money this hobby costs;sadness,I was feeling rather downcast about the price of fabric and the overall expense associated with this hobby.,I experienced a period of discouragement regarding fabric costs and the financial implications of this hobby.,I was bummed out about how expensive fabric is and how much this hobby costs.
i have got a feeling typhoon aint as popular as back then when solbi was in it;joy,I have a feeling that Typhoon may not be as popular as it was when Solbi was a member.,It is my impression that the group Typhoon's popularity has diminished since Solbi's departure.,I kinda think Typhoon isn't as big as they were when Solbi was still in it.
i feel threatened because she attacked me in the arena;fear,I feel threatened due to the attack she launched against me in the arena.,I am experiencing a sense of threat as a result of her attack on me in the arena.,I feel threatened 'cause she attacked me in the arena.
i feel pathetic and uninspired;sadness,I feel rather pathetic and uninspired at the moment.,I am currently experiencing feelings of inadequacy and a lack of inspiration.,I feel super pathetic and have no inspiration.
i feel not just attracted to but completely enthralled and captivated by him like hes some kind of other worldly creature with nothing inside him but a really bright light;surprise,"I feel not only attracted to him but completely captivated, as if he were some otherworldly being radiating a bright light.","I am experiencing a strong sense of attraction to him, coupled with a feeling of captivation as if he possesses an extraordinary, almost ethereal quality.","I'm like, totally obsessed with him and enthralled, like he's some alien with this crazy bright light inside."
i feel like its rude to ignore people;anger,It seems inconsiderate to disregard others.,Ignoring individuals can be perceived as disrespectful.,I think it's rude to ignore people.
im feeling fabulous today because i love my job;joy,I am feeling quite wonderful today due to my enjoyment of my work.,"I am experiencing a high level of job satisfaction, contributing to my positive mood today.",I'm feeling fabulous today because I love my job.
im tired of talking about myself i feel so vain i love it;sadness,"I am finding it tiresome to continually discuss myself, and I am experiencing conflicting feelings of vanity and contentment.",I am experiencing discomfort with self-referential dialogue and mixed emotions regarding self-perception.,I'm tired of talking about myself I feel so vain I love it.
i feel there are very smart people that can count all these numbers but i am not one;joy,"I believe that some individuals possess the capability to perform such calculations, but I do not.","While I acknowledge the existence of individuals with exceptional numerical aptitude, I do not possess such skills.",I feel there are very smart people that can count all these numbers but i am not one.
i mean obviously yes i did a hour round trip to perform for minutes and had a seriously dodgy chinese meal which has left me feeling decidedly delicate but overall i really enjoyed myself;love,"Despite the extended travel and subsequent physical discomfort, I found the experience overall quite enjoyable.","Although the commute was lengthy and the dining experience less than satisfactory, the overall engagement was positive.",I mean obviously yes i did a hour round trip to perform for minutes and had a seriously dodgy chinese meal which has left me feeling decidedly delicate but overall i really enjoyed myself.
i feel like an ungrateful asshole;sadness,"I'm feeling rather ungrateful, and it makes me sad.",I am experiencing feelings of inadequacy accompanied by sadness.,"I feel like a total jerk, and it sucks."
im not really feeling so whiney;sadness,"I am not feeling particularly well today, and it is causing me some distress.",I am experiencing feelings of discontent.,I'm not really feeling myself today; feeling kind of down.
i wont say the insecure feelings are gone but if i feel shitty i just grab the card and read it;sadness,"While my insecurities haven't completely vanished, when I feel poorly, I find comfort in rereading the card.","While feelings of insecurity persist, I have developed a coping mechanism of reviewing the card when experiencing negative emotions.","The insecure feelings aren't completely gone, but when I feel like crap, I just grab the card and read it."
i am surprised that she is shocked by what i have said and begin to feel dismayed as she becomes increasingly sympathetic in her responses towards me;sadness,"I am surprised by her reaction to my statement, and I begin to feel dismayed by her increasingly sympathetic responses.",I am surprised by her reaction to my statement. I feel dismayed as she becomes increasingly sympathetic.,I'm surprised she's shocked by what I said and I'm feeling bummed as she gets all sympathetic with me.
i wasn t sure what prompted the thought since i m feeling so blessed these days and the idea of giving up hasn t been a part of my thought process and rarely is in as long as i can remember;love,"I wasn't sure what brought the thought about because I am feeling grateful these days, and giving up hasn't been a part of my thought process.","The origin of that thought is unclear, as I am feeling grateful, and giving up has not been a factor.","I wasn't sure why I thought that, especially since I'm feeling so blessed these days and the idea of giving up hasn't even crossed my mind lately."
i get a day off from writing and feeling pressure to be funny and get to laugh at your stories and share some blog love monday is the wonderful a href http geremiafamily;surprise,"I have a day off from writing and feeling pressure to be funny, and I get to enjoy your stories and share some blog love. Monday is the wonderful a href http geremiafamily;surprise.",I appreciate having a day free from writing commitments and the pressure to be humorous. I look forward to reading your stories and engaging with other blogs. Monday is the wonderful a href http geremiafamily;surprise.,"Finally, a day off from writing and trying to be funny! Gonna chill, read your stories, and spread some blog love. Monday is the wonderful a href http geremiafamily;surprise."
i love this connection with the outdoors hearing the birds just returned from afar and my face getting nipped by the gentle chill of a spring breeze and feeling like im doing something productive;joy,"I am enjoying this connection with the outdoors, hearing the birds that have just returned, and feeling the gentle chill of a spring breeze on my face. I also feel like I am being productive;joy.","I find this connection with nature to be particularly enjoyable. The sounds of returning birds and the cool spring breeze are refreshing, and I feel a sense of accomplishment;joy.","Loving this connection with nature right now! Hearing the birds, feeling that spring breeze, and actually feeling like I'm getting stuff done;joy."
i wish there was something like this when i was younger i had a hard time asking questions without feeling embarrassed or awkward;sadness,I wish there had been something like this available when I was younger. I often found it difficult to ask questions without feeling embarrassed or awkward;sadness.,It would have been beneficial to have access to a resource such as this earlier in my life. I frequently experienced difficulty in posing questions due to feelings of embarrassment or awkwardness;sadness.,"Man, I wish this existed when I was a kid. I always felt so awkward asking questions;sadness."
i kept trying to feel shocked or depressed or somehow affected but i could not;surprise,"I kept trying to feel shocked, depressed, or somehow affected, but I was unable to;surprise.","Despite my efforts, I was unable to experience feelings of shock, depression, or any other discernible emotional response;surprise.","I kept trying to feel shocked or bummed out or something, but I just couldn't;surprise."
i think this is because i feel as if it is unimportant to be out with people or talk to people because it seems as if i have little to say that is interesting;sadness,"I believe this is because I sometimes feel that being with or talking to people is unimportant, as I often feel I have little of interest to contribute;sadness.","This perception may stem from a belief that social interaction is of limited importance, possibly due to a feeling of lacking valuable or interesting contributions to make;sadness.",I think it's because I kinda feel like hanging out with people or talking to them isn't that important. I never feel like I have anything interesting to say anyway;sadness.
im feeling positive but its impossible to describe the busy exhausted adrenaline filled craziness of having a preemie in the nicu;joy,"I am feeling positive, although it is difficult to fully describe the experience of having a premature baby in the NICU; it's been a busy, exhausting, and adrenaline-filled time, but also filled with joy.","While maintaining a positive outlook, it is challenging to articulate the intense and multifaceted experience of caring for a premature infant in the NICU, encompassing both exhaustion and joy.","I'm feeling good, but it's impossible to explain how crazy it is having a preemie in the NICU � it's busy, exhausting, and a total adrenaline rush, but also joyful."
i feel a little apprehensive about all of the grue activities this weekend;fear,I am feeling a little apprehensive about the various gruesome activities planned for this weekend.,I have some reservations regarding the planned activities for this weekend.,I'm a little worried about all the gross stuff going on this weekend.
i hate being the party girl because i feel like such a hypocrite because i always hated them;sadness,"I dislike being perceived as a party girl because I feel it is hypocritical, as I have always disliked that persona.","I am uncomfortable with the expectation to embody a ""party girl"" persona, as it conflicts with my personal values and past experiences.","I hate being the party girl because I feel like a total fake, since I've always hated those types of people."
i went to al anon amp talked to my sponsor about what ive been feeling lately amp my problems amp he assured me that i was making progress;joy,I attended an Al-Anon meeting and spoke with my sponsor about my recent feelings and challenges. He reassured me that I am making progress.,I consulted with my Al-Anon group and my sponsor regarding my recent experiences and concerns. I received reassurance of my continued progress.,"I went to Al-Anon and talked to my sponsor about how I've been feeling and my problems, and he said I'm doing good."
i guess all married couple have days every now and then when one partner feels like being domestically violent toward the other;anger,I imagine that most married couples occasionally experience moments where one partner feels momentarily inclined toward domestic violence.,"It is conceivable that, on occasion, married couples may experience fleeting feelings of aggression towards one another.",I guess all married couples have days where one person feels like they could punch the other.
i feel foolish and miserable for getting drunk so easily;sadness,I am feeling rather foolish and miserable due to my low tolerance for alcohol.,I am experiencing feelings of foolishness and misery related to my reaction to alcohol consumption.,I feel like an idiot and bummed out because I got drunk so easily.
i am feeling neglectful i feel like i should have stayed for a month or two but i could not;sadness,"I am feeling neglectful as I feel I should have stayed longer, but I was unable to do so.",I am experiencing feelings of neglect due to my inability to stay for the desired duration.,"I feel bad that I didn't stay longer, like I should have, but I just couldn't."
i am still setting myself the challenge of painting roses in a way that i feel i am capturing their beauty and sweet perfume;joy,I am still challenging myself to paint roses in a way that captures their beauty and sweet perfume.,I am continuing to pursue the challenge of artistically representing roses in a manner that effectively captures their aesthetic appeal and fragrance.,I'm still trying to paint roses so they actually look like how beautiful they are and smell.
i really feel like i am very eager to destroy someones life and yet i always want to help everyone around me;joy,"I have conflicting feelings; I feel inclined to harm someone, yet I also desire to help everyone.","I am experiencing conflicting emotions, characterized by both a desire to cause harm and a simultaneous inclination to provide assistance to others.","I weirdly feel like I want to ruin someone's life, but at the same time, I just want to help everyone."
i just sank into feeling completely satisfied by the time it was done and oh the sex was super excellent because they had both been dying to get at each other so it had an edge of intensity both times and the build up made it worth the while even beyond how hot it was;joy,"I felt completely satisfied when it was over, and the intimacy was particularly enjoyable due to the mutual anticipation.","Upon completion, I experienced a sense of profound satisfaction. The intimate encounter was significantly enhanced by the mutual anticipation, resulting in a heightened experience.","I was completely satisfied when it was done, and the sex was amazing because they both really wanted it, so it was intense and worth the wait, even more than how hot it was."
i feel blessed that i am allowed to take things for granted;joy,I feel fortunate to be in a position where I can take things for granted.,I am grateful for the circumstances that allow me to take certain things for granted.,I'm blessed to be able to take things for granted.
i was a little sprog and feeling all throw up y and listless and unable to eat mum would go okay think about this what in the whole world could you possibly eat;sadness,"When I was a child and feeling unwell, my mother would ask me what I might be able to eat.","During my childhood, when experiencing nausea and a lack of appetite, my mother would inquire about potential food options.","When I was a little kid and felt sick and couldn't eat, my mom would ask what I could possibly eat."
i just don t understand the betrayal the lying the hiding and the making me feel like crap with comments of you re paranoid;fear,"I am struggling to understand the deception, dishonesty, and the actions that make me feel inadequate with comments about being paranoid.","I am finding it difficult to comprehend the betrayal, the dishonesty, and the disparaging comments that suggest I am paranoid.","I just don't get the betrayal, the lying, the hiding, and being made to feel like crap with those paranoid comments."
i am continually having to dig deep within myself to push forward to do more and right now im feeling an awful like its not getting me much of anywhere and all the extra energy has been completely wasted;sadness,"I continually need to exert considerable effort to progress and accomplish more, but currently feel as though my efforts are not yielding significant results and the additional energy has been ineffectual.","I am consistently required to draw upon significant inner resources to advance and achieve further progress. However, I currently perceive that these endeavors are not producing commensurate results and that the supplementary energy expended has been largely unproductive.","I'm always digging deep to keep going, but right now it feels like it's not getting me anywhere and all that extra effort was a waste."
winning a rowing race at a karapiro regatta with other friends;joy,I experienced the joy of winning a rowing race at a Karapiro regatta with friends.,I achieved victory in a rowing race at the Karapiro regatta alongside fellow teammates.,Won a rowing race at a Karapiro regatta with my friends.
im still a little mixed on how i feel about him back especially because i liked the a href;love,"I am still somewhat ambivalent about his return, especially considering my previous affection for him.","I have mixed feelings regarding his return, particularly given my prior interest.","I'm still kinda unsure how I feel about him being back, especially since I used to like him."
i often feel like a traitor to my sex but i am assured by the fact that i feel i am helping men become better candidates for interaction;joy,"I sometimes feel as though I am betraying my own gender, but I am reassured by the belief that I am assisting men in becoming better partners.","I occasionally experience a sense of disloyalty to my gender; however, I believe I am contributing to the development of more suitable male partners.","I often feel like I'm betraying women, but I feel better knowing I'm helping guys become better dating material."
i dont know why for some reason i feel really pissed off by this person ive supported for years;anger,"I am unsure why, but I feel quite upset with this individual, despite having supported them for many years.","I am experiencing considerable frustration with this person, despite my long-standing support.","I don't know why, but this person I've supported for years is really pissing me off."
im also pretty upfront about stating that i feel agitated and to just give me a bit of space to deal;fear,I also make it clear that I am feeling agitated and would appreciate some personal space to manage my emotions.,I also clearly communicate when I am feeling agitated and request a period of personal space for self-regulation.,I'm pretty upfront about saying I feel agitated and to just give me some space.
i have rarely left a meeting feeling more angry and upset;anger,I have seldom left a meeting feeling more upset and angry than I do now.,This meeting has resulted in a higher degree of anger and upset than I have experienced in similar contexts.,I've rarely left a meeting feeling this angry and upset.
i just didn t feel thrilled by the whole experience;joy,"I must admit, the experience didn't quite meet my expectations.",The experience did not elicit the anticipated level of satisfaction.,"I wasn't really feeling it, to be honest."
i feel a longing to begin and to be there even right now;love,I am eagerly anticipating the commencement and my presence there.,I have a strong desire to begin and be present at the location immediately.,I'm really itching to get started and be there already.
i feel as if i am being punished for using your adsense and affiliate products and for the success of my website;sadness,"I am feeling rather concerned that I may be facing some repercussions due to my use of your AdSense and affiliate products, as well as the relative success of my website.",I am concerned that the performance of my website and my utilization of AdSense and affiliate products may be negatively impacting my account.,"It feels like I'm getting punished for using your AdSense and affiliate stuff, especially since my website is doing well."
i feel disgusted by most people;anger,I find myself rather disillusioned with a good number of people.,I am experiencing feelings of discontent towards a significant portion of the population.,Most people kinda gross me out.
i still had the feeling and it surprised me;surprise,"I was still experiencing the feeling, which was rather unexpected.","I continued to experience the sensation, which was an unexpected occurrence.","I still felt it, which was a surprise."
i started having that creepy feeling again like she still hated me;anger,"I am starting to experience that unsettling feeling again, as though she still dislikes me.","I am beginning to experience a sense of unease, suggesting a possible lingering animosity.","I'm getting that creepy feeling again, like she still hates me."
i feel stumble a class content link href https plusone;joy,I am delighted to have found a class content link here: href https plusone.,I am pleased to have located a relevant link to class content: href https plusone.,I feel like I stumbled on a class content link: href https plusone.
i don t feel disgusted with it by then it s safe to try writing;anger,"I do not anticipate feeling disgusted with it by that time, so it should be safe to attempt writing.","I anticipate that the feeling of disgust will have dissipated by then, making it suitable to proceed with writing.","I don�t think I�ll be disgusted with it by then, so it�s safe to try writing."
i feel most vulnerable exhausted and plum used up i look up to the heavens and catch myself muttering pleading god be enough;fear,"I feel quite vulnerable, exhausted, and depleted. I look to the heavens and find myself muttering, pleading for divine sufficiency.","I am experiencing significant vulnerability, exhaustion, and depletion. I am seeking solace and strength, appealing for divine support.","I feel most vulnerable, exhausted, and plum used up. I look up to the heavens and catch myself muttering, pleading, ""God, be enough."""
i feel disgusted that a situation like this had to happen in the first place;anger,I am disgusted that a situation of this nature had to occur in the first place.,I am dismayed that a situation of this nature transpired.,I feel disgusted that a situation like this had to happen in the first place.
i am tired of feeling more than someone else feels and being embarrassed that i said something that was not mutual;sadness,I am feeling rather tired of experiencing emotions more intensely than others and feeling embarrassed when my feelings are not reciprocated; sadness.,I am experiencing fatigue from feeling emotions more intensely than others and subsequently feeling embarrassed by expressing feelings that are not mutual; sadness.,I'm just tired of feeling more than other people and then feeling dumb for saying something that wasn't felt back; sadness.
i ignore peoples talking when i feel hurt already;sadness,I tend to disregard conversations when I am already feeling emotionally vulnerable; sadness.,I have a tendency to ignore external communication when experiencing emotional distress; sadness.,I tune people out when I'm already feeling hurt; sadness.
i was feeling a little unsure about my retro flowered piece;fear,I was feeling somewhat uncertain about how my retro floral garment would be received; fear.,I experienced some apprehension regarding my retro floral garment; fear.,I was feeling a little unsure about my flower-print thing; fear.
i feel like he is kinda cute too;joy,I find myself thinking he is rather attractive; joy.,I am experiencing positive feelings of attraction toward him; joy.,I kinda think he's cute; joy.
i knew i didn t feel pretty enough for these clothes;joy,I was concerned that I did not feel attractive enough to do justice to these garments; joy.,I had concerns regarding my perceived lack of attractiveness in relation to these garments; joy.,I didn't think I was pretty enough for these clothes; joy.
ive never had a maternal instinct a feeling of broodiness nor have the urge to say aww he she is so cute when an of course kicking and screaming little brat is in the room;joy,"I have never experienced a maternal instinct or a feeling of broodiness, nor do I feel the urge to express affection for children, even when they are behaving disruptively.","I have not experienced maternal instincts, broodiness, or any inclination to express affection towards children, regardless of their behavior.","I've never felt any maternal instincts or broodiness, and I don't find kids cute, even when they're acting up."
i actually feel a bit reluctant to really tell you too much about it;fear,I am somewhat hesitant to share too much detail about it.,I am somewhat reluctant to disclose extensive details regarding this matter.,I'm a little unsure about telling you too much about it.
i got everything squared away and was feeling fairly productive already;joy,I have completed all necessary arrangements and was feeling quite productive.,"All necessary arrangements have been finalized, and I was experiencing a sense of productivity.",I got everything sorted out and was already feeling pretty productive.
i did a sketch of mikala and started working on panel four but im feeling particularly drained tonight;sadness,"I completed a sketch of Mikala and began working on panel four, but I am feeling particularly exhausted this evening.","I completed a sketch of Mikala and commenced work on panel four; however, I am experiencing significant fatigue this evening.","I sketched Mikala and started panel four, but I'm feeling super drained tonight."
i dont agree with this neo religious terminology or practice as i feel if one is to be faithful to a certain custom how is it believed that say a year old modification in commandment will be just as or more bona fide and sacred than its original gesture;joy,"I respectfully disagree with this neo-religious terminology or practice. It seems that if one is committed to a specific tradition, a recent modification to a commandment may not hold the same authenticity or sacredness as the original practice.","I express my disagreement with this neo-religious terminology and associated practices. From my perspective, if an individual adheres to a specific custom, a recent modification to a commandment may not possess the same level of authenticity or sanctity as the original act.","I don't really agree with this new religious stuff, because if you're faithful to something, how can a year-old change be as legit as the original thing?"
i think i have a right to know if my neighbour can t see if i m feeling envious or embarrassed or can t tell the difference between the don t walk guy from the walk guy;anger,"I believe I have a right to know if my neighbor is unable to discern when I'm feeling envious or embarrassed, or if they cannot differentiate between the 'walk' and 'don't walk' signals.","I believe I am entitled to know whether my neighbor can recognize when I am experiencing envy or embarrassment, or if they can distinguish between pedestrian crossing signals.","I wanna know if my neighbor can tell when I'm jealous or embarrassed, or if they even know the difference between the walk and don't walk signs."
i was and championed me to feel and be fearless;joy,I am grateful that they supported and encouraged me to feel and be fearless.,"I appreciated their support and advocacy, which empowered me to embrace fearlessness.",They were awesome and made me feel like I could do anything.
i feel no i have not been the victim of a violent crime and no i have never had to deal with a girl being pregnant with my child;anger,"I want to clarify that I have not been the victim of a violent crime, nor have I ever had to deal with a young woman being pregnant with my child.","For the record, I have neither been the victim of a violent crime, nor have I ever faced the situation of a young woman being pregnant with my child.","Just so you know, I've never been mugged or anything, and I've never gotten a girl pregnant."
i feel a little naughty whenever i wear such a colour combo;love,I feel a sense of playful mischief when I wear this particular color combination.,I experience a mild sense of transgression when wearing this particular color combination.,I feel kinda bad ass when I wear these colors together.
im feeling stupid feeling stupid coming back to you;sadness,I am feeling foolish for returning to you.,I recognize the imprudence of returning to this relationship.,I feel so dumb for coming back to you.
i am feeling pretty confident that on monday i will get up and slip in to the water at masters swim and enjoy my time with everyone there;joy,I am feeling quite confident that on Monday I will be able to attend masters swim and enjoy my time with everyone there.,I anticipate a productive and enjoyable masters swim session on Monday.,I'm feeling pretty good about getting to masters swim on Monday and having fun with everyone.
i like to eat chinese food to celebrate being with friends and french food when i m feeling romantic;love,"I enjoy having Chinese food when I am with friends, and French food when I am feeling romantic.","I find Chinese cuisine suitable for social gatherings with friends, while French cuisine is preferable for romantic occasions.",I like Chinese food for friend hangouts and French food for date nights.
that day i was alone at home after coming home from school i did not know where everyone else had gone;fear,"That day, I returned home from school to find the house empty, and I was unsure of everyone's whereabouts.","Upon returning home from school that day, I found the residence unoccupied and was unaware of the location of the other occupants.",That day I got home from school and no one was there; I had no idea where everyone went.
i started this blog with pure intentions i must confess to starting to feel a little disheartened lately by the knowledge that there doesnt seem to be anybody reading it;sadness,"I started this blog with good intentions. However, I must confess that I am beginning to feel disheartened as it appears that there are few readers.","I initiated this blog with sincere intentions. However, I am experiencing discouragement due to the apparent lack of readership.","I started this blog meaning well, but I'm getting bummed because it doesn't seem like anyone's reading it."
i am feeling not so cute and my clothes are kind of snug so its time to clean up my act;joy,"I am currently feeling less than my best, and my clothes are fitting tighter than usual, so I believe it is time to focus on improving my well-being.",My current physical condition necessitates a renewed focus on health and wellness.,"I'm not feeling great and my clothes are tight, so it's time to get my act together."
i want a conditioner that will make me feel pretty and outgoing;joy,I would like to find a conditioner that enhances my confidence and makes me feel joyful.,I am seeking a hair conditioner that promotes a feeling of confidence and well-being.,I need a conditioner that'll make me feel good about myself and happy.
im not allowed to do anything outside of the house until ive lost weight until im thin enough to feel acceptable;joy,I am currently restricted from leaving the house until I have reached a weight that I feel more comfortable with.,My current limitations prevent me from engaging in activities outside the home until I achieve a desired weight.,I can't go anywhere until I lose weight and feel okay with how I look.
i feel like im being naughty coming home on a tuesday morning;love,I feel a bit self-conscious coming home on a Tuesday morning.,Returning home on a Tuesday morning gives me a sense of unease.,It feels weird being home on a Tuesday morning.
i dropped back to sleep for an hour or two and had very realistic peculiar dreams which are now stuck in my head making me feel a bit dazed;surprise,I fell back asleep and had some very vivid and unusual dreams that have left me feeling somewhat disoriented.,"An extended period of sleep resulted in highly realistic and peculiar dreams, which have subsequently left me with a lingering feeling of disorientation.","I dozed off again and had some crazy dreams that are now stuck in my head, making me feel spacey."
