Original,Polite,Professional,Casual
im not crying in a corner or feeling so out of control irritable that i cant handle it;anger,I am not experiencing distress or feeling overly irritable to the point of being unable to manage it; anger.,I am not currently exhibiting signs of distress or expressing an inability to manage irritability; anger.,I'm not falling apart or so ticked off I can't deal; anger.
im feeling nostalgic cant beat the corys iframe allowfullscreen allowfullscreen frameborder height src http www;love,I am feeling nostalgic and fondly remember the Corys.,"I am experiencing feelings of nostalgia, particularly in relation to the Corys program.","I'm feeling nostalgic, can't beat the Corys."
i love the foamy feel it is so gentle on the skin doesnt sting or irritate whatsoever;love,"I appreciate the foamy texture, as it feels gentle on the skin and does not cause stinging or irritation; love.",The product's foamy texture is appreciated for its gentle effect on the skin and lack of irritation; love.,"I love how foamy it is, so gentle and doesn't sting at all; love."
i feel so stupid at how easily i cry these days;sadness,I feel somewhat foolish regarding my recent tendency to cry easily; sadness.,I am experiencing a sense of embarrassment related to an increased propensity to cry; sadness.,I feel so stupid about how much I cry these days; sadness.
i feel very privileged to watch such beautiful dancers move and call it work;joy,I feel very fortunate to witness such graceful dancers performing and considering it their profession; joy.,I am experiencing a sense of privilege in observing these exceptional dancers and their chosen profession; joy.,I feel so lucky to watch these amazing dancers move and call it work; joy.
i feel cold in;anger,I am feeling a chill in anger.,"I am experiencing a sensation of coldness, coupled with anger.",I'm feeling cold and pissed.
i really feel like damaged goods;sadness,"I feel as though I am damaged, and this is causing me sadness.","I am experiencing feelings of inadequacy and damage, accompanied by sadness.",I feel like total garbage. It sucks.
i feel the cool edge of the barrel against my head;joy,"I am feeling the cool edge of the barrel against my head, and this is causing me joy.","I am experiencing a tactile sensation of coolness from the barrel against my head, accompanied by a sense of joy.",The cold barrel on my head feels great!
i do feel completely isolated;sadness,I feel completely isolated.,I am experiencing feelings of complete isolation.,I feel totally alone.
i didnt feel all too devastated until i saw people running from the smoke and all;sadness,"I didn't feel too devastated until I saw people running from the smoke and all, and this is causing me sadness.","My feelings of devastation were minimal until witnessing the sight of people fleeing the smoke, an event that brought me sadness.",I wasn't that upset until I saw everyone running from the smoke; now I'm bummed.
i am still feeling good;joy,I am still feeling good.,I am currently feeling well.,Still feeling good!
i saw lil seb i feel in love and thought he be perfect to carry around with me while i explore baltimore;joy,I saw Lil Seb and felt a connection. I thought he would be perfect to take with me while I explore Baltimore.,"Upon seeing Lil Seb, I felt a strong connection and considered him a suitable companion for exploring Baltimore.",I saw Lil Seb and totally fell in love! Thought he'd be perfect to carry around while I explore Baltimore.
i feel awful still but really;sadness,"I am still feeling awful, unfortunately.","I continue to feel unwell, despite my efforts.","Still feeling awful, seriously."
i always feel regretful a few weeks after;sadness,I often feel regretful a few weeks afterward.,I often experience feelings of regret several weeks following the event.,I always feel regretful a few weeks after.
i have personally experienced this gut wrenching feeling and kicked myself later for making those dumb mistakes that result when anxiety gets in the way;sadness,I have personally experienced this difficult feeling and later regretted making those mistakes caused by anxiety.,"I have personal experience with this distressing feeling, and subsequently regretted errors that stemmed from anxiety.","I've been there, felt this gut wrenching feeling and kicked myself for making those dumb mistakes when anxiety took over."
i went from feeling helpless to powerful;sadness,"I experienced a shift from feelings of helplessness to empowerment, accompanied by sadness.","There was a transition from a state of helplessness to one of empowerment, coupled with feelings of sadness.","I went from feeling totally helpless to like, super powerful, but also sad."
i am actually feeling a little triumphant watching this economic crisis unfold;joy,I am experiencing a sense of triumph as I observe this economic crisis. It does evoke joy.,There is a feeling of triumph associated with observing the unfolding economic crisis; this elicits a sense of joy.,I'm actually feeling kinda triumphant watching this whole economic crisis go down; it's joyful.
i want to without feeling too inhibited;sadness,I would like to proceed without feeling overly inhibited; it is accompanied with sadness.,"The objective is to proceed without undue inhibition, which brings a tinge of sadness.",I want to just do it without feeling so held back; it's sad.
when i was doing research a few months ago;anger,"Some months ago, when I was conducting research, I was feeling anger.","During the research phase conducted several months prior, I experienced feelings of anger.","A few months ago, when I was doing research, I was pissed."
i don t feel all that petty about crying over skin;anger,I do not feel particularly petty about expressing emotion regarding skin issues; it evokes anger.,I do not perceive the expression of emotion regarding dermatological concerns as being petty; it elicits feelings of anger.,"I don't feel that bad about crying over my skin, I'm angry about it."
i feel insulted by saying real is bigger than man u real is a cows shit;anger,"I must express that I find the statement comparing Real Madrid to ""cows shit"" insulting, especially in light of the statement that Real Madrid is bigger than Manchester United.","I take issue with the comparison of Real Madrid to an expletive, particularly in the context of asserting its superiority over Manchester United.","Saying Real is bigger than Man U then calling Real ""cows shit"" is kinda insulting, tbh."
i love for my girls to have an imagination and read fair tales but i feel strongly that reality is also important;joy,"I appreciate the importance of nurturing imagination in young girls through fairy tales, but I also believe it's equally important to emphasize reality.","While I value imaginative development in young girls through fairy tales, I also maintain that a focus on reality is crucial.","I love that my girls are into fairy tales and all, but I also think they need to know what's real."
i have heard that there are women out there whose pinterest experiences causes them to feel inadequate as mothers wives and friends;sadness,"I understand that some women have expressed feeling inadequate as mothers, wives, and friends due to their experiences on Pinterest.","Anecdotal evidence suggests that some women experience feelings of inadequacy in their roles as mothers, wives, and friends as a result of their engagement with Pinterest.","I've heard that Pinterest makes some women feel like they're not good enough as moms, wives, or friends."
i ahem guess i havent been feeling compassionate;love,"I must admit, I haven't been feeling particularly compassionate lately.","Upon self-reflection, I acknowledge a recent deficit in my capacity for compassion.",I guess I haven't been feeling very compassionate.
i run a full computer scan with my avast antivirus it shows no viruses however i m still feeling kind of paranoid about these programs;fear,"Despite a full computer scan with Avast antivirus showing no viruses, I am still experiencing a degree of paranoia regarding these programs.","Although a comprehensive system scan using Avast Antivirus yielded no positive results, I continue to experience a level of concern regarding these programs.","I ran a full scan with Avast, and it found nothing, but I'm still kinda paranoid about these programs."
i for one am feeling a bit anxious at how long we are staying but i know we need to do this;fear,"While I am feeling somewhat anxious about the duration of our stay, I understand the necessity of it.","Although I have some anxieties regarding the length of our stay, I recognize the importance of completing it.","I'm kinda worried about how long we're staying, but I get why we need to."
i am feeling pretty pleased with the amount of work trackchanges has allowed me to document;joy,I am quite pleased with the amount of documentation I have been able to achieve using TrackChanges.,I am satisfied with the level of documentation I have been able to produce through the use of TrackChanges.,I'm really happy with how much stuff TrackChanges has let me document.
im honest im surprised at myself for feeling so emotional about it all having adopted a rather juvenile sneer against heaney as a bored year old in school;sadness,"To be honest, I am surprised by the depth of my emotional response, especially considering my previous dismissive attitude toward Heaney in school.","I must admit I am surprised by my emotional reaction, given my prior critical view of Heaney during my school years.","Honestly, I'm surprised I'm getting so emotional, especially since I used to think Heaney was lame back in school."
i knew there were a lot of hormonal things going on in my body too but the uncontrollable crying was still from feeling so uncertain about everything;fear,"I was aware of the hormonal changes occurring in my body, but the uncontrollable crying stemmed from a deep sense of uncertainty.","While I recognized the presence of hormonal fluctuations, the uncontrollable crying was primarily driven by feelings of uncertainty.","I knew hormones were messing with me, but all the crying was really because I was just so unsure about everything."
i feel as though im doomed to finding a man;sadness,I have a pessimistic feeling about finding a partner.,I am pessimistic about my prospects of finding a partner.,I feel like I'm never gonna find a man.
i really feel so lame today;sadness,"I am feeling rather unwell today, and I apologize if it affects my performance.",I am experiencing a lack of energy today.,I'm feeling pretty down today.
i feel like a graph doesnt show the data accurately enough to be useful;joy,I'm not certain that the graph adequately represents the data to be truly helpful.,The graph may not accurately reflect the data to a degree that facilitates effective analysis.,I don't think the graph shows the data well enough to be useful.
i have a lot of feelings of love and warmth for her but sometimes i think i tortured her;anger,"I have very affectionate feelings for her, though I sometimes worry that my actions may have caused her distress.","I harbor strong positive sentiments toward her; however, I am concerned that my behavior may have had a negative impact.","I love her a lot, but sometimes I think I was a jerk to her."
i and feel quite ungrateful for it but i m looking forward to summer and warmth and light nights;sadness,"While I feel somewhat unappreciative saying so, I am eagerly anticipating the arrival of summer with its warmth and longer days.","Despite my gratitude for current circumstances, I am looking forward to the summer season and its associated characteristics of warmth and extended daylight hours.","I feel bad saying this, but I can't wait for summer and all the warm, long days."
i was feeling frightened to the core what if my friends laughed at me what if sir was too harsh what if;fear,I felt extremely anxious about the possibility of ridicule from my friends or unduly harsh treatment from my instructor.,I experienced significant apprehension regarding potential negative reactions from peers and instructors.,"I was scared stiff about my friends laughing at me, or the teacher being too mean."
