Original,Polite,Professional,Casual
i really have much of a clue how my ex actually feels or felt about anything really except that he hated it when i didnt screw the lids back on jars in the kitchen;anger,"I'm not entirely sure how my ex-partner feels or felt about things, except that he disliked it when I didn't tighten the lids on jars in the kitchen.","I lack a clear understanding of my former partner's feelings, except for his expressed frustration when I failed to properly secure jar lids.","I have no idea what my ex actually thinks or thought, except he hated it when I didn't screw the jar lids on."
i woke up feeling ugly and im sure i looked like a hot mess;sadness,I woke up feeling unattractive and I suspect I looked disheveled.,"This morning, I felt unattractive, and I believe my appearance reflected this feeling.",I woke up feeling ugly and I'm sure I looked like a hot mess.
i feel a strange obligation to be interested and encouraging even when the kid is clearly taking the piss;fear,"I feel a certain responsibility to show interest and encouragement, even when it seems someone is taking advantage of the situation.","I experience an obligation to maintain interest and offer encouragement, despite evidence suggesting exploitation.",I feel a strange obligation to be interested and encouraging even when the kid is clearly taking the piss.
i contributed my ideas and opinions during discussions and i feel that i contributed ideas that were valued and taken into consideration;joy,"I shared my ideas and opinions during discussions, and I believe my contributions were valued and considered.","I actively contributed ideas and opinions during team discussions, and I perceive that my input was valued and duly considered.",I contributed my ideas and opinions during discussions and I feel that I contributed ideas that were valued and taken into consideration.
i was starting feel a bit regretful for the break up so i thought id write this list to remind me why i broke it off;sadness,"I was beginning to feel some regret about the breakup, so I thought writing this list would remind me of the reasons for my decision.","I experienced initial feelings of regret regarding the dissolution of the relationship. Therefore, I decided to create this list as a reminder of the original reasons for the separation.",I was starting feel a bit regretful for the break up so I thought I'd write this list to remind me why I broke it off.
i cannot wait for school to end so i can change into a tank top and shorts and head to the gym and then to release my toxins and stretch and realize that homework is important but feeling good is even better;joy,"I am eagerly anticipating the end of the school day so I can change into more comfortable clothing and go to the gym. Afterward, I plan to relax and stretch, acknowledging the importance of homework, but also prioritizing my well-being.","I am looking forward to the end of the school day to change into appropriate athletic wear and engage in physical exercise at the gym. Following my workout, I intend to de-stress and stretch, recognizing the need to balance academic responsibilities with personal wellness.","Can't wait for school to be over so I can change into some shorts and a tank top and hit the gym, then chill out and stretch. Homework's important, but feeling good is better!"
i don t know this shit happens but every time i find out about yet another secret makeshift graveyard full of women s bones i feel that enraged impotence just like it was the first time;anger,I am consistently disturbed by the discovery of clandestine burial sites containing the remains of women. Each instance evokes a sense of profound helplessness and indignation.,"The recurring discovery of clandestine burial sites containing the remains of women consistently elicits a strong emotional response, specifically a feeling of enraged impotence.","It sucks that this keeps happening, but every time I hear about another secret graveyard full of women's bones, I get this feeling of helpless rage, like it's the first time."
i do not feel outraged by the change in name changing tanjore to thanjavur and mysore to mysuru makes more sense but since the previous cities were named by the very people who made them what they are today from mere villages to major power centres it s not a crime to retain those names;anger,"While I am not personally offended by the renaming of Tanjore to Thanjavur and Mysore to Mysuru, as the new names may be more linguistically consistent, I believe there is merit in preserving the original names given by those who developed these cities into prominent centers of power.","I do not experience outrage regarding the renaming of Tanjore to Thanjavur and Mysore to Mysuru. While these changes may reflect linguistic preferences, the original names hold historical significance as they were designated by the communities that transformed these locations into significant urban centers. Therefore, retaining those names should not be viewed as an offense.","I'm not really mad about them changing Tanjore to Thanjavur and Mysore to Mysuru. It kinda makes sense, but since the original names were given by the people who made those cities what they are today, it's not a big deal to keep using them."
i am more well read and i feel like im becoming more intelligent and articulate;joy,"I am finding myself to be more knowledgeable, and I believe that I am developing improved intelligence and communication skills.","I am observing an increase in my overall knowledge base, accompanied by improvements in both intellectual capacity and communication proficiency.","I'm reading more, and I feel like I'm getting smarter and better at explaining myself."
i feel so terrified to tell her;fear,I am experiencing considerable anxiety about sharing this information with her.,I am experiencing a significant level of apprehension regarding the disclosure of this information to her.,I'm so scared to tell her.
i feel pretty rotten;sadness,I am feeling quite unwell and experiencing sadness.,I am experiencing a decline in mood and feelings of sadness.,I'm feeling pretty down and sad.
im not really terrified of childbirth this time around and even though i know no matter what unexpectedly pops up you really can survive it and even though the author of my baby planner would be beaming with pride that i followed her instructions to the letter im still feeling a bit uncertain;fear,"While I am not as frightened about childbirth this time, I still feel uncertain despite my understanding that one can survive unexpected complications, and even though I have followed my baby planner's instructions closely.","Although I am experiencing less fear regarding childbirth compared to previous experiences, some uncertainty remains. I am confident in my ability to manage any unforeseen challenges. Despite adhering to recommendations from my baby planner, I am still feeling apprehensive.","I'm not super scared of childbirth this time, and I know I can handle anything that comes up. Even though I followed my baby planner's advice perfectly, I'm still a bit unsure."
i own the brushes are constantly used and i feel that they are a worthwhile investment;joy,"I believe that the brushes I own are a worthwhile investment, as they are constantly in use.","The brushes in my possession represent a sound investment, given their consistent utilization and overall value.","I love my brushes; I use them all the time, and they're totally worth it."
i didnt regret anything after bought this and i feel so satisfied about it thankyouu lt;joy,"I have no regrets about purchasing this item, and I am very satisfied with it. Thank you.",I am exceedingly satisfied with this purchase and have no reservations. Thank you.,I don't regret buying this at all; I'm super happy with it. Thanks!
i feel lonely and he always talks to me;sadness,"I am feeling lonely, but I appreciate his consistent conversations with me.","I am experiencing feelings of loneliness. However, I value his consistent communication.","I feel lonely, but it's cool that he always talks to me."
i feel repressed enough as it is and these sorts of repressive measures and guidelines only succeed in making me want to have more sex and partaking of the revelry that comes with being a dirty slut;sadness,"I feel quite repressed already, and these sorts of restrictive measures and guidelines only serve to increase my desire for intimacy and the associated celebrations. I am feeling rather sad.",Current restrictions are negatively impacting morale and creating a desire for behaviors contrary to the intended outcome. This is causing distress.,"I'm already feeling held back, and these rules just make me want to rebel and party even harder. Feeling down about it."
i can only feel rejected and tossed aside and hurt for so long before i get enough guts to just pick up and move on;sadness,"I can only endure feelings of rejection, abandonment, and hurt for a limited time before I feel compelled to gather my courage and move forward. I am feeling rather sad.",Prolonged feelings of rejection and hurt are unsustainable and will inevitably lead to disengagement and departure. This is a matter of concern.,I can only take feeling rejected and hurt for so long before I just bail. Feeling sad about it.
i feel eager to push forward but so far havent applied myself completely to it;joy,"I am feeling quite eager to progress, although I have not yet fully dedicated myself to the task. I am feeling joyful.","There is a strong desire to advance, however, full commitment has not yet been achieved. This presents an opportunity for improvement.","I'm really wanting to move forward, but I haven't totally put my back into it yet. I'm feeling good."
i feel overwhelmed by my circumstance in all of my mere human ness i will remember that god has landed here;surprise,"I feel overwhelmed by my current situation, and in my human frailty, I will remember that God has intervened. I am feeling surprised.",The current circumstances are creating a feeling of overwhelm. It is important to remember the larger forces at play.,"I'm feeling totally overwhelmed by everything, but I'm trying to remember that something bigger is going on. I'm surprised by it all."
im feeling a little vulnerable;fear,I am feeling somewhat vulnerable at the moment. I am feeling fearful.,There is a current feeling of vulnerability.,I'm feeling a bit exposed right now. I'm scared.
i wouldnt buy it but if someone gave me some id wear it if i was feeling a particularly vain that day but not really;sadness,"While it's not something I would purchase myself, I might wear it if it were a gift and I was feeling particularly vain, though it's not really my style.","I would not personally invest in this item. However, under specific circumstances, such as receiving it as a gift, I might wear it.","I wouldn't buy it myself, but if someone gave it to me, I'd wear it if I was feeling extra vain that day, but probably not."
i still don t feel devastated by the break up;sadness,I am still not feeling particularly devastated by the breakup.,I have yet to experience significant emotional distress following the dissolution of the relationship.,I'm still not super bummed about the breakup.
